Data,Pim
1990-07-01,70.65966125250466
1990-08-01,75.00444995536787
1990-09-01,70.57362583264604
1990-10-01,72.77367442617499
1990-11-01,65.54669915804614
1990-12-01,52.03913824023397
1991-01-01,52.83803856749307
1991-02-01,48.46611570247929
1991-03-01,53.42840771349858
1991-04-01,60.88780165289251
1991-05-01,64.4619283746556
1991-06-01,65.0283636363636
1991-07-01,71.55433608815422
1991-08-01,72.13672727272721
1991-09-01,65.70649035812667
1991-10-01,69.99065564738287
1991-11-01,61.853134986225854
1991-12-01,51.074909090909046
1992-01-01,51.87270523415973
1992-02-01,54.60116804407709
1992-03-01,56.85893112947653
1992-04-01,56.045179063360834
1992-05-01,58.29496418732777
1992-06-01,61.31861157024789
1992-07-01,64.27045730027544
1992-08-01,62.97802754820931
1992-09-01,62.75464462809912
