region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
146,2,9e-4,0.0019,FALSE,FALSE,FALSE,0.0151,0.0352
147,2,8e-4,0.0146,FALSE,TRUE,FALSE,0.005,0.0653
148,1,0.015,NA,TRUE,NA,FALSE,0.0653,0.0603
149,1,0.6594,NA,TRUE,NA,FALSE,0.7437,0.7136
150,1,0.0046,NA,FALSE,NA,FALSE,0.0151,0.0151
151,2,6e-4,0.8222,FALSE,TRUE,FALSE,0.0151,0.8291
152,2,0.0097,0.9856,FALSE,TRUE,FALSE,0.0704,1
153,2,0,0.0015,FALSE,FALSE,FALSE,0.005,0.0201
154,1,0.1437,NA,TRUE,NA,FALSE,0.3015,0.3216
155,2,0.0179,0.8214,TRUE,TRUE,FALSE,0.1709,0.9497
156,2,0.1279,0.0228,TRUE,TRUE,FALSE,0.3216,0.1608
157,2,0.4766,0.5289,TRUE,TRUE,FALSE,0.6834,0.7638
158,2,0,0,FALSE,FALSE,FALSE,0,0
159,1,0.0187,NA,TRUE,NA,FALSE,0.0804,0.0704
160,1,0.0152,NA,TRUE,NA,FALSE,0.0452,0.0402
161,1,0.0167,NA,TRUE,NA,FALSE,0.0905,0.0352
162,1,0.0262,NA,TRUE,NA,FALSE,0.0553,0.1005
163,1,0.1552,NA,TRUE,NA,FALSE,0.1709,0.2161
164,1,0.9179,NA,TRUE,NA,FALSE,0.9447,0.8995
165,1,2e-4,NA,FALSE,NA,FALSE,0.005,0.0101
166,2,0.0985,0.024,TRUE,TRUE,FALSE,0.3166,0.191
167,2,0.3466,0.2654,TRUE,TRUE,FALSE,0.4724,0.397
168,1,0.01,NA,TRUE,NA,FALSE,0.0704,0.0603
169,2,0.0109,0.0861,TRUE,TRUE,FALSE,0.1005,0.2864
170,2,0.1223,8e-4,TRUE,FALSE,FALSE,0.206,0.005
171,2,0,2e-4,FALSE,FALSE,FALSE,0,0.0101
172,1,0.5769,NA,TRUE,NA,FALSE,0.7085,0.809
173,2,0.3786,0.6125,TRUE,TRUE,FALSE,0.5879,0.799
174,2,0.0016,0.0062,FALSE,FALSE,FALSE,0.0151,0.0653
175,2,0.0658,0.0292,TRUE,TRUE,FALSE,0.0905,0.0653
176,1,0.0737,NA,TRUE,NA,FALSE,0.2462,0.2412
177,2,0,0.0217,FALSE,TRUE,FALSE,0,0.1608
178,2,3e-4,0.0597,FALSE,TRUE,FALSE,0.0151,0.2362
179,1,0.0011,NA,FALSE,NA,FALSE,0.0101,0.0101
180,2,0.0333,9e-4,TRUE,FALSE,FALSE,0.206,0.0251
181,1,0.0369,NA,TRUE,NA,FALSE,0.1307,0.1055
182,1,0.4153,NA,TRUE,NA,FALSE,0.5729,0.5628
183,2,0.0054,0.0159,FALSE,TRUE,FALSE,0.1055,0.1457
184,NA,NA,NA,NA,NA,FALSE,NA,NA
185,NA,NA,NA,NA,NA,FALSE,NA,NA
186,1,7e-4,NA,FALSE,NA,FALSE,0.0402,0.0352
187,1,0.0027,NA,FALSE,NA,FALSE,0.0151,0.0151
188,2,2e-4,0.3082,FALSE,TRUE,FALSE,0,0.407
189,1,0.829,NA,TRUE,NA,FALSE,0.8995,0.8693
190,1,0.9246,NA,TRUE,NA,FALSE,0.9497,0.9548
191,2,0.0015,0.0012,FALSE,FALSE,FALSE,0.0402,0.0352
192,1,0.0052,NA,FALSE,NA,TRUE,0.0352,0.0452
193,1,6e-4,NA,FALSE,NA,FALSE,0.0201,0.0302
194,2,0.0438,0.0014,TRUE,FALSE,FALSE,0.2513,0.0452
195,2,1e-4,3e-4,FALSE,FALSE,FALSE,0.005,0.0101
196,2,0.0081,0.3912,FALSE,TRUE,FALSE,0.0302,0.5427
197,1,0.9211,NA,TRUE,NA,FALSE,0.9698,0.9296
198,2,1e-4,0.0041,FALSE,FALSE,FALSE,0,0.0201
199,2,0.0222,0.0909,TRUE,TRUE,FALSE,0.1005,0.2211
200,2,4e-4,0.2262,FALSE,TRUE,FALSE,0.0201,0.4322
201,2,0,0.009,FALSE,FALSE,FALSE,0,0.1005
202,1,0.8726,NA,TRUE,NA,TRUE,0.9196,0.8995
203,2,0,0.1448,FALSE,TRUE,FALSE,0,0.3266
204,2,0.0011,0.5493,FALSE,TRUE,FALSE,0.005,0.6533
205,2,0.0026,0.8046,FALSE,TRUE,FALSE,0.0302,0.8894
206,2,2e-4,0.6508,FALSE,TRUE,FALSE,0.0101,0.7387
207,1,0.9612,NA,TRUE,NA,FALSE,0.9849,0.9849
208,2,0.0093,0.0633,FALSE,TRUE,FALSE,0.0754,0.2412
209,2,0.0015,0.3889,FALSE,TRUE,FALSE,0,0.5678
210,2,0.0145,0.1726,TRUE,TRUE,FALSE,0.0955,0.407
211,1,0.269,NA,TRUE,NA,FALSE,0.3719,0.4673
212,2,0.0047,0.0013,FALSE,FALSE,FALSE,0.0854,0.0402
213,2,0.3712,0.0216,TRUE,TRUE,FALSE,0.6281,0.1859
214,1,0.2731,NA,TRUE,NA,FALSE,0.4422,0.402
215,2,0.2095,0.4677,TRUE,TRUE,FALSE,0.392,0.6131
216,2,0,0.006,FALSE,FALSE,FALSE,0,0.0352
217,1,0.0016,NA,FALSE,NA,FALSE,0.0201,0.0302
218,2,5e-4,0.0019,FALSE,FALSE,FALSE,0.0302,0.0251
219,1,0.2006,NA,TRUE,NA,FALSE,0.3317,0.3618
220,2,0,0.0023,FALSE,FALSE,FALSE,0,0.0101
221,1,0.7177,NA,TRUE,NA,TRUE,0.8492,0.8191
222,1,0.3698,NA,TRUE,NA,FALSE,0.4824,0.4472
223,2,0.0371,0.0046,TRUE,FALSE,FALSE,0.1407,0.0553
224,2,0.0319,0.2264,TRUE,TRUE,FALSE,0.1658,0.4472
225,2,0.001,0.4428,FALSE,TRUE,FALSE,0.0452,0.6382
226,2,2e-4,0.5677,FALSE,TRUE,FALSE,0.0151,0.7236
227,1,0.0934,NA,TRUE,NA,TRUE,0.2161,0.2111
228,1,0.5138,NA,TRUE,NA,TRUE,0.6131,0.6231
229,1,0.0541,NA,TRUE,NA,FALSE,0.2111,0.201
230,2,0.0358,0.013,TRUE,TRUE,FALSE,0.1658,0.1206
