region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
349,2,0,0.0033,FALSE,FALSE,FALSE
350,2,0.007,0.0212,FALSE,TRUE,FALSE
351,2,0,1e-4,FALSE,FALSE,FALSE
352,2,0.0028,0.2773,FALSE,TRUE,FALSE
353,2,0.0282,0.4157,TRUE,TRUE,FALSE
354,2,5e-4,0.0093,FALSE,FALSE,FALSE
355,2,1e-4,0.0395,FALSE,TRUE,FALSE
356,2,0.0242,0.0022,TRUE,FALSE,FALSE
357,2,0,0.0063,FALSE,FALSE,FALSE
358,2,0.1046,0.4145,TRUE,TRUE,FALSE
359,2,0.0194,0.0721,TRUE,TRUE,FALSE
360,2,0.0095,0.2266,FALSE,TRUE,FALSE
361,2,0.0112,0.0076,TRUE,FALSE,FALSE
362,2,0.0087,0.0015,FALSE,FALSE,FALSE
363,2,0.073,0.0014,TRUE,FALSE,FALSE
364,2,0.0079,0.0287,FALSE,TRUE,FALSE
365,2,3e-4,0.0579,FALSE,TRUE,FALSE
366,2,0.0319,5e-4,TRUE,FALSE,FALSE
367,2,0.002,0.2099,FALSE,TRUE,FALSE
368,2,0.0011,0.0025,FALSE,FALSE,FALSE
369,1,0.0234,NA,TRUE,NA,FALSE
370,2,0.0056,0.0017,FALSE,FALSE,FALSE
371,2,0.0104,0.0016,TRUE,FALSE,FALSE
372,2,7e-4,0,FALSE,FALSE,FALSE
373,2,0.5984,0.0598,TRUE,TRUE,FALSE
374,2,0.5869,0.2038,TRUE,TRUE,FALSE
375,2,4e-4,0.058,FALSE,TRUE,FALSE
376,2,3e-4,9e-4,FALSE,FALSE,FALSE
377,1,0.0222,NA,TRUE,NA,FALSE
378,2,0.2832,0.0359,TRUE,TRUE,FALSE
379,2,2e-4,0.3118,FALSE,TRUE,FALSE
380,2,0,0.0033,FALSE,FALSE,FALSE
381,2,0.003,0.3831,FALSE,TRUE,FALSE
382,2,0.0031,0.0973,FALSE,TRUE,FALSE
383,2,0.0285,0.0426,TRUE,TRUE,FALSE
384,2,0.0482,0.0024,TRUE,FALSE,FALSE
385,1,0.6227,NA,TRUE,NA,FALSE
386,2,0.2746,0.0017,TRUE,FALSE,FALSE
387,1,0.0031,NA,FALSE,NA,FALSE
388,2,0.016,0.3724,TRUE,TRUE,FALSE
389,2,0.3888,0.3871,TRUE,TRUE,FALSE
390,1,0.5205,NA,TRUE,NA,FALSE
391,1,0.9795,NA,TRUE,NA,FALSE
392,2,0.0052,0.0318,FALSE,TRUE,FALSE
393,2,0.0264,6e-4,TRUE,FALSE,FALSE
394,1,0.7826,NA,TRUE,NA,FALSE
395,1,0.4582,NA,TRUE,NA,FALSE
396,2,0.0476,0.0037,TRUE,FALSE,FALSE
397,2,0.0458,0.0922,TRUE,TRUE,FALSE
398,2,0.0168,0.0945,TRUE,TRUE,FALSE
399,2,0.0023,0.2247,FALSE,TRUE,FALSE
400,2,0.0018,0.0122,FALSE,TRUE,FALSE
401,2,0.0069,0.0577,FALSE,TRUE,FALSE
402,2,0.1027,0.1435,TRUE,TRUE,FALSE
403,1,0.1875,NA,TRUE,NA,FALSE
404,2,0.0334,0.0016,TRUE,FALSE,FALSE
405,1,0.5525,NA,TRUE,NA,FALSE
406,2,0.5402,0.088,TRUE,TRUE,FALSE
407,2,0.0667,0.0171,TRUE,TRUE,FALSE
408,2,0.0777,0.0758,TRUE,TRUE,FALSE
409,2,0.1008,0.8242,TRUE,TRUE,FALSE
410,1,0.0091,NA,FALSE,NA,FALSE
411,2,0.0526,0.6951,TRUE,TRUE,FALSE
412,2,0.1912,0.8245,TRUE,TRUE,FALSE
413,2,2e-4,2e-4,FALSE,FALSE,FALSE
414,1,0.0114,NA,TRUE,NA,FALSE
415,2,0,0.0011,FALSE,FALSE,FALSE
