date,value,ln_oil
2002-07-01,25.77,3.2492110246642736
2002-08-01,26.63,3.282038399825841
2002-09-01,28.34,3.3442742342625342
2002-10-01,27.55,3.3160025355989236
2002-11-01,24.5,3.1986731175506815
2002-12-01,28.52,3.3506055955460954
2003-01-01,31.2308695652174,3.44140701481441
2003-02-01,32.6485,3.4857989128600386
2003-03-01,30.3390476190476,3.412435583152408
2003-04-01,25.1081818181818,3.2231937618732993
2003-05-01,25.7504545454545,3.248452279204606
2003-06-01,27.5457142857143,3.3158469621809217
2003-07-01,28.3982608695652,3.3463279063049587
2003-08-01,29.8257142857143,3.3953709169248394
2003-09-01,27.0981818181818,3.299466634054907
2003-10-01,29.5904347826087,3.3874511598698565
2003-11-01,28.772,3.35940269200511
2003-12-01,29.8313043478261,3.395558323612475
2004-01-01,31.1436363636364,3.4386099342714695
2004-02-01,30.866,3.42965525447864
2004-03-01,33.7991304347826,3.520435075376454
2004-04-01,33.3627272727273,3.507439326928565
2004-05-01,37.7409523809524,3.6307457749413525
2004-06-01,35.1927272727273,3.5608394496866933
2004-07-01,38.3713636363636,3.6473114427559405
2004-08-01,43.0309090909091,3.761918673536683
2004-09-01,43.3822727272727,3.7700508951575897
2004-10-01,49.7704761904762,3.9074219606461944
2004-11-01,43.055,3.7624783681481286
2004-12-01,39.6560869565217,3.6802444534867407
2005-01-01,44.2842857142857,3.79062988983906
2005-02-01,45.557,3.818964289176541
2005-03-01,53.0726086956522,3.971660951381694
2005-04-01,51.8571428571429,3.9484926852095383
2005-05-01,48.6663636363636,3.884988106370778
2005-06-01,54.3077272727273,3.9946665238635872
2005-07-01,57.5790476190476,4.053158744912603
2005-08-01,64.1247826086957,4.1608309133673815
2005-09-01,62.9822727272727,4.142853301513881
2005-10-01,58.5223809523809,4.069409261455176
2005-11-01,55.5359090909091,4.017029822178252
2005-12-01,56.7122727272727,4.037990637528187
2006-01-01,63.3613636363636,4.148854269313142
2006-02-01,59.9235,4.093068748718049
2006-03-01,62.2539130434783,4.131221393505399
2006-04-01,70.4325,4.254654804364741
2006-05-01,70.2669565217391,4.252301653062778
2006-06-01,68.8577272727273,4.2320424523225295
2006-07-01,73.8980952380953,4.302687052765352
2006-08-01,73.6121739130435,4.298810418483917
2006-09-01,62.7728571428571,4.139522768943012
2006-10-01,58.3818181818182,4.0670045088570435
2006-11-01,58.4840909090909,4.06875476698068
2006-12-01,62.2704761904762,4.131487416044397
2007-01-01,54.5539130434783,3.9991894428590533
2007-02-01,57.7585,4.056270524718271
2007-03-01,62.1436363636364,4.12944842113971
2007-04-01,67.5047619047619,4.212198142127393
2007-05-01,67.4765217391304,4.211779711286003
2007-06-01,71.3171428571429,4.267136731299924
2007-07-01,77.205,4.346464221772828
2007-08-01,70.7969565217391,4.259816012794621
2007-09-01,77.1285,4.345472862071074
2007-10-01,82.8317391304348,4.416811310773125
2007-11-01,92.5281818181818,4.527513266421084
2007-12-01,91.5290476190476,4.516656382219072
2008-01-01,92.0065217391304,4.52185946300538
2008-02-01,94.8185714285714,4.55196529122012
2008-03-01,103.122857142857,4.635921065218174
2008-04-01,110.188636363636,4.702193773104443
2008-05-01,123.494545454545,4.81619698873271
2008-06-01,133.048571428571,4.890714260263995
2008-07-01,133.899130434783,4.897086758537003
2008-08-01,113.850476190476,4.734885975113878
2008-09-01,99.0645454545455,4.595771611980025
2008-10-01,72.8426086956522,4.288301068271534
2008-11-01,53.2415,3.9748381674350566
2008-12-01,41.2530434782609,3.719724891350158
2009-01-01,44.7190909090909,3.800400500131516
2009-02-01,43.2425,3.7668238079359413
2009-03-01,46.8390909090909,3.846718130110148
2009-04-01,50.9831818181818,3.9314958100678674
2009-05-01,57.9414285714286,4.059432648085378
2009-06-01,68.6168181818182,4.228537667684567
2009-07-01,64.91,4.173001695045377
2009-08-01,72.5047619047619,4.2836522411486895
2009-09-01,67.6872727272727,4.214898167079084
2009-10-01,73.1940909090909,4.293114692423162
2009-11-01,77.0366666666666,4.344281498987169
2009-12-01,74.7,4.3134800921387715
2010-01-01,76.412380952381,4.3361447373936235
2010-02-01,74.312,4.30827244608522
2010-03-01,79.2747826086956,4.37292007817777
2010-04-01,84.9286363636364,4.44181133165968
2010-05-01,76.2509523809524,4.3340299056515175
2010-06-01,74.8381818181818,4.315328206858799
2010-07-01,74.7354545454545,4.313954605315415
2010-08-01,76.6931818181818,4.3398128102652
2010-09-01,77.7868181818182,4.3539719847187985
2010-10-01,82.9180952380952,4.4178533162243285
2010-11-01,85.67,4.4505027059759525
2010-12-01,91.7965217391304,4.519574407356661
2011-01-01,96.2947619047619,4.567413923812362
2011-02-01,103.955,4.643958113195351
2011-03-01,114.441304347826,4.740062065773598
2011-04-01,123.150476190476,4.813406991310805
2011-05-01,114.458181818182,4.740209531988304
2011-06-01,113.757727272727,4.734070987591711
2011-07-01,116.460952380952,4.757556044127142
2011-08-01,110.081304347826,4.701219223204823
2011-09-01,112.446818181818,4.722480382600983
2011-10-01,109.469047619048,4.695641839152139
2011-11-01,110.504090909091,4.705052542074246
2011-12-01,107.97,4.681853410759049
2012-01-01,110.993636363636,4.70947286961157
2012-02-01,119.702380952381,4.785008503363439
2012-03-01,124.928636363636,4.8277426651807405
2012-04-01,120.590952380952,4.792404259762
2012-05-01,110.521739130435,4.705212235820252
2012-06-01,95.5890476190476,4.5600582488400105
2012-07-01,103.140909090909,4.636096102728907
2012-08-01,113.34,4.730392150741473
2012-09-01,113.3825,4.730767058397289
2012-10-01,111.97347826087,4.7182620420110215
2012-11-01,109.711818181818,4.697857093309138
2012-12-01,109.64,4.697202271434585
2013-01-01,112.928695652174,4.7267566076128595
2013-02-01,116.455,4.757504932291371
2013-03-01,109.24,4.693547296605504
2013-04-01,102.875454545455,4.633519077412308
2013-05-01,103.026956521739,4.634990667791843
2013-06-01,103.11,4.635796379529852
2013-07-01,107.716086956522,4.679498941220854
