region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
290,2,0,0.002,FALSE,FALSE,FALSE,0,0.0201
291,2,0,0.1486,FALSE,TRUE,FALSE,0,0.3719
292,2,0,0.0136,FALSE,TRUE,FALSE,0.005,0.0553
293,2,0,0.0129,FALSE,TRUE,FALSE,0,0.0402
294,2,1e-4,0.0334,FALSE,TRUE,FALSE,0,0.1106
295,2,0,0.1757,FALSE,TRUE,FALSE,0,0.2915
296,2,0,1e-4,FALSE,FALSE,FALSE,0,0
297,2,0.012,0.3076,TRUE,TRUE,FALSE,0.0503,0.5075
298,2,0,0,FALSE,FALSE,FALSE,0,0
299,2,0.0261,0.1808,TRUE,TRUE,FALSE,0.0804,0.2663
300,2,0.0115,0.866,TRUE,TRUE,FALSE,0.0804,0.9146
301,2,0.0026,0.7983,FALSE,TRUE,FALSE,0.0352,0.8442
302,2,0,0.0184,FALSE,TRUE,FALSE,0,0.0503
303,2,0.0025,0.4324,FALSE,TRUE,FALSE,0.0151,0.5879
304,2,0.0013,0.0289,FALSE,TRUE,FALSE,0.005,0.0754
305,1,0,NA,FALSE,NA,FALSE,0,0
306,2,0,0.0011,FALSE,FALSE,FALSE,0,0.005
307,2,0.0132,0.6477,TRUE,TRUE,FALSE,0.0804,0.7588
308,2,0,0.003,FALSE,FALSE,FALSE,0,0.0151
309,2,0,0.0077,FALSE,FALSE,FALSE,0,0.0503
310,2,0,0.0136,FALSE,TRUE,FALSE,0,0.0302
311,2,0.0574,0.9707,TRUE,TRUE,FALSE,0.191,0.9749
312,2,6e-4,0.0673,FALSE,TRUE,FALSE,0.0101,0.1407
313,2,0,0.0019,FALSE,FALSE,FALSE,0,0.0302
314,2,0,0.0207,FALSE,TRUE,FALSE,0,0.0905
315,2,0.008,0.4263,FALSE,TRUE,FALSE,0.1106,0.6985
316,2,1e-4,0.5385,FALSE,TRUE,FALSE,0.005,0.7286
317,2,4e-4,0.2573,FALSE,TRUE,FALSE,0.005,0.4271
318,2,6e-4,0.4033,FALSE,TRUE,FALSE,0.0101,0.5678
319,2,0.001,0.0117,FALSE,TRUE,FALSE,0.005,0.0402
320,2,0,1e-4,FALSE,FALSE,FALSE,0,0.005
321,2,1e-4,0.2447,FALSE,TRUE,FALSE,0.005,0.402
322,2,1e-4,0.7877,FALSE,TRUE,FALSE,0,0.8543
323,1,0.053900000000000003,NA,TRUE,NA,FALSE,0.1407,0.1859
324,1,2e-4,NA,FALSE,NA,FALSE,0.0101,0.0101
325,2,0.0026,0.2398,FALSE,TRUE,FALSE,0.0352,0.5226
326,1,0.2046,NA,TRUE,NA,FALSE,0.3317,0.397
327,1,0.9778,NA,TRUE,NA,FALSE,0.9799,0.9648
328,2,1e-4,0.1345,FALSE,TRUE,FALSE,0.0201,0.3317
329,2,0.0021,0.7202,FALSE,TRUE,FALSE,0.0402,0.7588
330,2,0,3e-4,FALSE,FALSE,FALSE,0,0.0101
331,2,0.0019,0.3768,FALSE,TRUE,FALSE,0.0302,0.5879
332,2,0.0015,0.3026,FALSE,TRUE,FALSE,0.0352,0.5126
333,2,0,0.0391,FALSE,TRUE,FALSE,0,0.1508
334,1,0.0054,NA,FALSE,NA,FALSE,0.0251,0.0302
335,1,0.0026,NA,FALSE,NA,FALSE,0.0251,0.005
336,2,1e-4,0.6875,FALSE,TRUE,FALSE,0.005,0.8191
337,2,6e-4,0.5246,FALSE,TRUE,FALSE,0.0201,0.6332
338,2,4e-4,0.1181,FALSE,TRUE,FALSE,0.0151,0.3015
339,1,0.0148,NA,TRUE,NA,FALSE,0.0754,0.0553
340,2,0,0.1972,FALSE,TRUE,FALSE,0,0.4523
341,2,0,0.0736,FALSE,TRUE,FALSE,0,0.201
342,2,0.0029,0.0061,FALSE,FALSE,FALSE,0.0201,0.0503
343,1,0.0846,NA,TRUE,NA,FALSE,0.2111,0.196
344,2,0.0215,0.0629,TRUE,TRUE,FALSE,0.1307,0.2814
345,2,5e-4,0.4296,FALSE,TRUE,FALSE,0.0352,0.6633
346,2,0.0144,0.0523,TRUE,TRUE,FALSE,0.0603,0.2161
347,2,0,0.1148,FALSE,TRUE,FALSE,0,0.1256
348,1,0.0582,NA,TRUE,NA,FALSE,0.1457,0.1307
349,2,0,0.0404,FALSE,TRUE,FALSE,0,0.0804
350,2,0,0.0104,FALSE,TRUE,FALSE,0,0.0553
351,2,1e-4,0.1889,FALSE,TRUE,FALSE,0,0.3668
352,2,0,0.2727,FALSE,TRUE,FALSE,0,0.4975
353,2,0,0.1697,FALSE,TRUE,FALSE,0,0.4221
354,2,0,0.0026,FALSE,FALSE,FALSE,0,0.0251
355,2,0,0.0379,FALSE,TRUE,FALSE,0,0.1055
356,2,6e-4,0.0034,FALSE,FALSE,FALSE,0.005,0.0352
357,2,1e-4,0.4559,FALSE,TRUE,FALSE,0,0.6432
358,1,0.0867,NA,TRUE,NA,FALSE,0.1256,0.0955
359,2,0,0.2073,FALSE,TRUE,FALSE,0,0.3518
360,2,0,0.4186,FALSE,TRUE,FALSE,0,0.5779
361,2,2e-4,0.104,FALSE,TRUE,FALSE,0,0.196
362,2,6e-4,0.193,FALSE,TRUE,FALSE,0.0151,0.3819
363,2,0,8e-4,FALSE,FALSE,FALSE,0,0.0251
364,2,0,0.6195,FALSE,TRUE,FALSE,0.005,0.7437
365,2,1e-4,0.488,FALSE,TRUE,FALSE,0,0.5729
366,2,0,0.2985,FALSE,TRUE,FALSE,0,0.4925
367,2,0,0.0695,FALSE,TRUE,FALSE,0,0.1658
368,2,0,0,FALSE,FALSE,FALSE,0,0
369,1,0.4752,NA,TRUE,NA,FALSE,0.6734,0.6181
370,2,0.0027,0.1481,FALSE,TRUE,FALSE,0.0402,0.3317
371,2,0,0.005,FALSE,FALSE,FALSE,0,0.0352
372,2,0,1e-4,FALSE,FALSE,FALSE,0,0
373,2,0,0.1135,FALSE,TRUE,FALSE,0,0.3015
374,2,0,0.4158,FALSE,TRUE,FALSE,0,0.6382
375,2,0,0.9301,FALSE,TRUE,FALSE,0,0.9598
376,2,0,2e-4,FALSE,FALSE,FALSE,0,0.005
377,2,0,0.0332,FALSE,TRUE,FALSE,0,0.0704
378,2,0.0011,0.0334,FALSE,TRUE,FALSE,0.0352,0.1457
379,2,2e-4,0.2829,FALSE,TRUE,FALSE,0,0.4372
380,2,0,0.0045,FALSE,FALSE,FALSE,0,0.0352
381,2,2e-4,0.1221,FALSE,TRUE,FALSE,0.005,0.2864
382,2,0,3e-4,FALSE,FALSE,FALSE,0,0
383,2,0,0.0161,FALSE,TRUE,FALSE,0,0.0402
384,2,0.0029,0.0317,FALSE,TRUE,FALSE,0.005,0.1206
385,2,0.0028,0.944,FALSE,TRUE,FALSE,0.005,0.9799
386,2,0,0.0454,FALSE,TRUE,FALSE,0,0.1206
387,2,0,0.1305,FALSE,TRUE,FALSE,0,0.2965
388,2,0,0.1682,FALSE,TRUE,FALSE,0,0.2261
389,2,1e-4,0.1843,FALSE,TRUE,FALSE,0.0101,0.3317
390,1,0.0032,NA,FALSE,NA,FALSE,0.0151,0.0302
391,2,0,0.6793,FALSE,TRUE,FALSE,0,0.804
392,2,0,0.056,FALSE,TRUE,FALSE,0,0.1055
393,2,0,0.0305,FALSE,TRUE,FALSE,0,0.1206
394,1,0.1059,NA,TRUE,NA,FALSE,0.1608,0.1658
395,2,0,0.0454,FALSE,TRUE,FALSE,0,0.1206
396,2,3e-4,0.0395,FALSE,TRUE,FALSE,0.0201,0.1256
397,2,0.0015,0.1437,FALSE,TRUE,FALSE,0.0251,0.2764
398,2,0.0017,0.1587,FALSE,TRUE,FALSE,0.0101,0.3518
399,2,0,0.5379,FALSE,TRUE,FALSE,0,0.7035
400,2,0,0.0758,FALSE,TRUE,FALSE,0,0.1658
401,2,0,0.0969,FALSE,TRUE,FALSE,0.005,0.206
402,2,0.0116,0.2951,TRUE,TRUE,FALSE,0.1005,0.4673
403,2,0,0.0047,FALSE,FALSE,FALSE,0,0.0352
404,2,0,0.001,FALSE,FALSE,FALSE,0,0.0201
405,2,3e-4,0.1001,FALSE,TRUE,FALSE,0.0302,0.3116
406,2,0.5402,0.088,TRUE,TRUE,FALSE,0.6734,0.2111
407,2,0,0.0065,FALSE,FALSE,FALSE,0,0.0251
408,2,2e-4,0.0052,FALSE,FALSE,FALSE,0.0302,0.0251
409,2,2e-4,0.5446,FALSE,TRUE,FALSE,0.005,0.7136
410,2,0,0.0623,FALSE,TRUE,FALSE,0,0.1859
411,2,5e-4,0.6099,FALSE,TRUE,FALSE,0.005,0.7387
412,2,0.1715,0.1259,TRUE,TRUE,FALSE,0.3015,0.3065
413,2,4e-4,0.1657,FALSE,TRUE,FALSE,0.005,0.2864
414,2,0.0018,0.1787,FALSE,TRUE,FALSE,0.0101,0.3266
415,2,0,0.0921,FALSE,TRUE,FALSE,0.0101,0.2513
416,2,0,0.0252,FALSE,TRUE,FALSE,0,0.0754
417,1,0.5412,NA,TRUE,NA,FALSE,0.5578,0.6382
418,2,4e-4,0.3952,FALSE,TRUE,FALSE,0.005,0.5126
419,2,0.0029,0.7721,FALSE,TRUE,FALSE,0.0151,0.8744
420,1,1e-4,NA,FALSE,NA,FALSE,0.0101,0.0101
421,1,0.0742,NA,TRUE,NA,FALSE,0.1658,0.1256
422,2,0,0.5432,FALSE,TRUE,FALSE,0,0.6583
423,1,0.3397,NA,TRUE,NA,FALSE,0.4422,0.4824
424,2,1e-4,0.0486,FALSE,TRUE,FALSE,0,0.1156
425,2,1e-4,0.0014,FALSE,FALSE,FALSE,0.0302,0.0251
426,1,0.2471,NA,TRUE,NA,FALSE,0.4874,0.4472
427,2,5e-4,0.3985,FALSE,TRUE,FALSE,0.0201,0.5779
428,2,0,0.0178,FALSE,TRUE,FALSE,0,0.0402
429,1,0,NA,FALSE,NA,FALSE,0.005,0
430,1,0.2978,NA,TRUE,NA,FALSE,0.4724,0.5226
431,2,0.012,0.4999,TRUE,TRUE,FALSE,0.0603,0.7035
