region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical
150,1,0.290,NA,TRUE,NA
151,1,0.493,NA,TRUE,NA
152,2,0.002,0.978,FALSE,TRUE
153,1,0.017,NA,TRUE,NA
154,2,0.589,0.153,TRUE,TRUE
155,1,0.952,NA,TRUE,NA
156,2,0.136,0.177,TRUE,TRUE
157,2,0.013,0.025,TRUE,TRUE
158,2,0.000,0.000,FALSE,FALSE
159,1,0.007,NA,FALSE,NA
160,1,0.002,NA,FALSE,NA
161,2,0.000,0.000,FALSE,FALSE
162,1,0.005,NA,FALSE,NA
163,1,0.774,NA,TRUE,NA
164,2,0.035,0.781,TRUE,TRUE
165,1,0.002,NA,FALSE,NA
166,1,0.000,NA,FALSE,NA
167,2,0.007,0.000,FALSE,FALSE
168,1,0.002,NA,FALSE,NA
169,2,0.024,0.036,TRUE,TRUE
170,2,0.354,0.004,TRUE,FALSE
171,2,0.000,0.000,FALSE,FALSE
172,1,0.704,NA,TRUE,NA
173,2,0.017,0.006,TRUE,FALSE
174,2,0.000,0.000,FALSE,FALSE
175,2,0.003,0.834,FALSE,TRUE
176,1,0.006,NA,FALSE,NA
177,2,0.000,0.543,FALSE,TRUE
178,1,0.000,NA,FALSE,NA
179,1,0.069,NA,TRUE,NA
180,2,0.001,0.202,FALSE,TRUE
181,2,0.000,0.116,FALSE,TRUE
182,2,0.000,0.013,FALSE,TRUE
183,NA,NA,NA,NA,NA
184,NA,NA,NA,NA,NA
185,NA,NA,NA,NA,NA
186,1,0.000,NA,FALSE,NA
187,1,0.000,NA,FALSE,NA
188,2,0.000,0.136,FALSE,TRUE
189,2,0.230,0.014,TRUE,TRUE
190,1,0.882,NA,TRUE,NA
191,2,0.003,0.093,FALSE,TRUE
192,1,0.015,NA,TRUE,NA
193,2,0.001,0.297,FALSE,TRUE
194,2,0.001,0.811,FALSE,TRUE
195,2,0.000,0.105,FALSE,TRUE
196,2,0.000,0.208,FALSE,TRUE
197,2,0.069,0.034,TRUE,TRUE
198,2,0.000,0.002,FALSE,FALSE
199,2,0.000,0.004,FALSE,FALSE
200,2,0.001,0.292,FALSE,TRUE
201,1,0.001,NA,FALSE,NA
202,1,0.274,NA,TRUE,NA
203,2,0.000,0.001,FALSE,FALSE
204,2,0.002,0.727,FALSE,TRUE
205,2,0.000,0.851,FALSE,TRUE
206,2,0.000,0.529,FALSE,TRUE
207,2,0.000,0.000,FALSE,FALSE
208,2,0.000,0.031,FALSE,TRUE
209,2,0.003,0.005,FALSE,FALSE
210,2,0.002,0.423,FALSE,TRUE
211,2,0.004,0.481,FALSE,TRUE
212,2,0.020,0.000,TRUE,FALSE
213,2,0.050,0.005,TRUE,FALSE
214,2,0.000,0.028,FALSE,TRUE
215,2,0.000,0.417,FALSE,TRUE
216,2,0.000,0.095,FALSE,TRUE
217,1,0.000,NA,FALSE,NA
218,2,0.000,0.001,FALSE,FALSE
219,1,0.000,NA,FALSE,NA
220,2,0.029,0.246,TRUE,TRUE
221,NA,NA,NA,NA,NA
222,1,0.648,NA,TRUE,NA
223,1,0.385,NA,TRUE,NA
224,1,0.766,NA,TRUE,NA
225,NA,NA,NA,NA,NA
226,2,0.001,0.102,FALSE,TRUE
227,NA,NA,NA,NA,NA
228,2,0.000,0.040,FALSE,TRUE
229,2,0.039,0.469,TRUE,TRUE
230,2,0.000,0.000,FALSE,FALSE
231,2,0.006,0.026,FALSE,TRUE
232,2,0.000,0.000,FALSE,FALSE
233,1,0.047,NA,TRUE,NA
234,1,0.001,NA,FALSE,NA
235,1,0.007,NA,FALSE,NA
236,1,0.009,NA,FALSE,NA
237,NA,NA,NA,NA,NA
238,2,0.008,0.008,FALSE,FALSE
239,2,0.006,0.088,FALSE,TRUE
240,2,0.000,0.157,FALSE,TRUE
241,2,0.000,0.273,FALSE,TRUE
242,1,0.002,NA,FALSE,NA
243,2,0.000,0.737,FALSE,TRUE
244,2,0.001,0.532,FALSE,TRUE
245,2,0.019,0.015,TRUE,TRUE
246,2,0.003,0.326,FALSE,TRUE
247,NA,NA,NA,NA,NA
248,2,0.015,0.076,TRUE,TRUE
249,2,0.000,0.062,FALSE,TRUE
250,2,0.000,0.003,FALSE,FALSE
251,2,0.001,0.647,FALSE,TRUE
252,2,0.000,0.714,FALSE,TRUE
253,2,0.000,0.397,FALSE,TRUE
254,2,0.001,0.051,FALSE,TRUE
255,2,0.000,0.021,FALSE,TRUE
256,2,0.000,0.027,FALSE,TRUE
257,2,0.002,0.394,FALSE,TRUE
258,2,0.000,0.071,FALSE,TRUE
259,2,0.000,0.006,FALSE,FALSE
260,2,0.002,0.194,FALSE,TRUE
261,2,0.000,0.352,FALSE,TRUE
262,2,0.002,0.203,FALSE,TRUE
263,1,0.000,NA,FALSE,NA
264,2,0.000,0.013,FALSE,TRUE
265,2,0.000,0.011,FALSE,TRUE
266,2,0.000,0.191,FALSE,TRUE
267,2,0.000,0.559,FALSE,TRUE
268,2,0.000,0.011,FALSE,TRUE
269,2,0.001,0.024,FALSE,TRUE
270,2,0.000,0.569,FALSE,TRUE
271,2,0.000,0.000,FALSE,FALSE
272,2,0.009,0.898,FALSE,TRUE
273,2,0.000,0.958,FALSE,TRUE
274,2,0.000,0.002,FALSE,FALSE
275,2,0.000,0.256,FALSE,TRUE
276,2,0.006,0.763,FALSE,TRUE
277,1,0.001,NA,FALSE,NA
278,2,0.000,0.028,FALSE,TRUE
279,2,0.011,0.221,TRUE,TRUE
280,2,0.004,0.002,FALSE,FALSE
281,2,0.014,0.683,TRUE,TRUE
282,1,0.002,NA,FALSE,NA
283,2,0.005,0.016,FALSE,TRUE
284,2,0.000,0.272,FALSE,TRUE
285,2,0.001,0.006,FALSE,FALSE
286,2,0.003,0.078,FALSE,TRUE
287,1,0.000,NA,FALSE,NA
288,1,0.000,NA,FALSE,NA
289,2,0.000,0.000,FALSE,FALSE
290,2,0.000,0.002,FALSE,FALSE
291,2,0.000,0.149,FALSE,TRUE
292,2,0.000,0.014,FALSE,TRUE
293,2,0.000,0.013,FALSE,TRUE
294,2,0.000,0.033,FALSE,TRUE
295,2,0.000,0.176,FALSE,TRUE
