region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
209,2,0.0019,0.3651,FALSE,TRUE,FALSE
210,2,0.0085,0.2518,FALSE,TRUE,FALSE
211,2,0.029,0.6276,TRUE,TRUE,FALSE
212,2,0.0057,8e-4,FALSE,FALSE,FALSE
213,2,0.5273,0.0307,TRUE,TRUE,FALSE
214,1,0.7046,NA,TRUE,NA,FALSE
215,2,0.131,0.3405,TRUE,TRUE,FALSE
216,2,0,0.0707,FALSE,TRUE,FALSE
217,1,4e-4,NA,FALSE,NA,FALSE
218,2,5e-4,0.0019,FALSE,FALSE,FALSE
219,1,0.167,NA,TRUE,NA,FALSE
220,2,0,0.0239,FALSE,TRUE,FALSE
221,NA,NA,NA,NA,NA,TRUE
222,1,0.2322,NA,TRUE,NA,FALSE
223,2,0.0495,0.0052,TRUE,FALSE,FALSE
224,2,0.0513,0.3819,TRUE,TRUE,FALSE
225,1,0.0433,NA,TRUE,NA,FALSE
226,2,1e-4,0.5334,FALSE,TRUE,FALSE
227,NA,NA,NA,NA,NA,TRUE
228,1,0.345,NA,TRUE,NA,FALSE
229,1,0.1035,NA,TRUE,NA,FALSE
230,2,0.1147,0.0217,TRUE,TRUE,FALSE
231,2,0.0012,0.0058,FALSE,FALSE,FALSE
232,2,0.0426,0.1653,TRUE,TRUE,FALSE
233,1,0.0056,NA,FALSE,NA,FALSE
234,1,0.0035,NA,FALSE,NA,FALSE
235,1,0.0251,NA,TRUE,NA,FALSE
236,1,0.3335,NA,TRUE,NA,FALSE
237,1,7e-4,NA,FALSE,NA,FALSE
238,2,2e-4,0.0043,FALSE,FALSE,FALSE
239,2,0.2392,0.2661,TRUE,TRUE,FALSE
240,1,0.0557,NA,TRUE,NA,FALSE
241,2,4e-4,0.3799,FALSE,TRUE,FALSE
242,2,2e-4,0.0014,FALSE,FALSE,FALSE
243,2,5e-4,0.8884,FALSE,TRUE,FALSE
244,1,0.9795,NA,TRUE,NA,FALSE
245,2,0.0095,0.0288,FALSE,TRUE,FALSE
246,2,4e-4,0.2605,FALSE,TRUE,FALSE
247,2,4e-4,0.0139,FALSE,TRUE,FALSE
248,2,0.0071,0.4093,FALSE,TRUE,FALSE
249,2,0.0078,0.8573,FALSE,TRUE,FALSE
250,1,0.3295,NA,TRUE,NA,FALSE
251,1,0.755,NA,TRUE,NA,FALSE
252,2,0.0028,0.9347,FALSE,TRUE,FALSE
253,2,0.0071,0.6821,FALSE,TRUE,FALSE
254,1,0,NA,FALSE,NA,FALSE
255,2,7e-4,0.1242,FALSE,TRUE,FALSE
256,2,0,0.0022,FALSE,FALSE,FALSE
257,2,0.0022,0.0947,FALSE,TRUE,FALSE
258,2,0,0.0318,FALSE,TRUE,FALSE
259,2,1e-4,0.0077,FALSE,FALSE,FALSE
260,2,0.0246,0.5836,TRUE,TRUE,FALSE
261,1,0.0095,NA,FALSE,NA,FALSE
262,2,1e-4,0.1058,FALSE,TRUE,FALSE
263,1,0.0012,NA,FALSE,NA,FALSE
264,2,0,0.0086,FALSE,FALSE,FALSE
265,2,0,4e-4,FALSE,FALSE,FALSE
266,2,0.0054,0.1687,FALSE,TRUE,FALSE
