Conexao;Conexao;Conexao;Conexao;Conexao;Conexao;;PIB;PIB;PIB;PIB;PIB;PIB;PIB;;Populacao;Populacao;Populacao;Populacao;Populacao;Populacao;Populacao;;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta
region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;;region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;Zero_Rank;;region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;Zero_Rank;;region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;Zero_Rank
89;2;0;0.079;0;1;;89;1;0.2319;NA;1;NA;0;;89;2;1.00E-04;0.1901;0;1;0;;89;1;0.2589;NA;1;NA;0
90;2;0.008;0.157;0;1;;90;2;0.1811;0.3273;1;1;0;;90;2;6.00E-04;0.3106;0;1;0;;90;2;0;0.5131;0;1;0
91;1;0.094;NA;1;NA;;91;NA;NA;NA;NA;NA;0;;91;1;0.7572;NA;1;NA;0;;91;1;0.6489;NA;1;NA;0
92;2;0;0.001;0;0;;92;2;0.0232;0.6363;1;1;0;;92;2;0.042;0.7479;1;1;0;;92;2;0.0372;0.7846;1;1;0
93;2;0.064;0.001;1;0;;93;2;0.0044;0.0723;0;1;0;;93;2;0.01;0.0964;1;1;0;;93;2;0.0048;0.0616;0;1;0
94;2;0.001;0.017;0;1;;94;1;0.0017;NA;0;NA;0;;94;1;2.00E-04;NA;0;NA;0;;94;1;0;NA;0;NA;0
95;NA;NA;NA;NA;NA;;95;1;0.0015;NA;0;NA;0;;95;2;1.00E-04;4.00E-04;0;0;0;;95;2;0;0.0012;0;0;0
96;2;0;0.362;0;1;;96;2;0.3053;0.8599;1;1;0;;96;2;0.0268;0.7694;1;1;0;;96;2;2.00E-04;0.3273;0;1;0
97;2;0;0.209;0;1;;97;2;2.00E-04;0.2876;0;1;0;;97;2;0;0.2737;0;1;0;;97;2;0;0.0979;0;1;0
98;2;0.003;0.005;0;0;;98;2;0.0024;0.085;0;1;0;;98;2;0.0041;0.1014;0;1;0;;98;2;0.006;0.1432;0;1;0
99;2;0.002;0.981;0;1;;99;NA;NA;NA;NA;NA;0;;99;1;0.5084;NA;1;NA;0;;99;1;0.1781;NA;1;NA;0
100;2;0.018;0.101;1;1;;100;2;1.00E-04;0.163;0;1;0;;100;2;9.00E-04;0.2481;0;1;0;;100;2;0;0.0568;0;1;0
101;1;0.005;NA;0;NA;;101;1;0.1277;NA;1;NA;0;;101;1;0.0468;NA;1;NA;0;;101;1;0.0489;NA;1;NA;0
102;1;0;NA;0;NA;;102;1;0.052;NA;1;NA;0;;102;1;0.0664;NA;1;NA;0;;102;2;0;8.00E-04;0;0;0
103;1;0;NA;0;NA;;103;1;0.0034;NA;0;NA;0;;103;1;0.0014;NA;0;NA;0;;103;1;2.00E-04;NA;0;NA;0
104;2;0.586;0.002;1;0;;104;2;0.0391;0.0209;1;1;0;;104;2;0.075;0.0529;1;1;0;;104;2;0.213;0.212;1;1;0
105;2;0.189;0.006;1;0;;105;2;0.5887;0.0028;1;0;0;;105;2;0.5338;0.002;1;0;0;;105;2;0.3614;0.0012;1;0;0
106;2;0;0.305;0;1;;106;2;0.01;2.00E-04;1;0;0;;106;2;0.0214;0.0288;1;1;0;;106;2;1.00E-04;0.4644;0;1;0
107;2;0.001;0.006;0;0;;107;2;5.00E-04;0.0012;0;0;0;;107;2;5.00E-04;0.0014;0;0;0;;107;2;8.00E-04;0.0028;0;0;0
108;1;0.199;NA;1;NA;;108;1;0.4797;NA;1;NA;0;;108;1;0.4834;NA;1;NA;0;;108;1;0.4284;NA;1;NA;0
109;1;0.137;NA;1;NA;;109;2;0.0017;0.0279;0;1;0;;109;2;2.00E-04;0.0069;0;0;0;;109;2;0;0.0031;0;0;0
110;2;0.003;0.74;0;1;;110;1;0.5592;NA;1;NA;0;;110;1;0.4877;NA;1;NA;0;;110;2;0.0157;0.5653;1;1;0
111;2;0;0.128;0;1;;111;1;0.6584;NA;1;NA;0;;111;2;0.2118;0.188;1;1;0;;111;2;1.00E-04;0.1533;0;1;0
112;2;0.011;0.138;1;1;;112;1;0.2182;NA;1;NA;0;;112;1;0.4114;NA;1;NA;0;;112;2;0.0739;0.6561;1;1;0
113;1;0.8;NA;1;NA;;113;1;0.3163;NA;1;NA;0;;113;1;0.3418;NA;1;NA;0;;113;1;0.4201;NA;1;NA;0
114;NA;NA;NA;NA;NA;;114;NA;NA;NA;NA;NA;0;;114;NA;NA;NA;NA;NA;1;;114;1;0.2467;NA;1;NA;1
115;NA;NA;NA;NA;NA;;115;NA;NA;NA;NA;NA;0;;115;NA;NA;NA;NA;NA;1;;115;1;0.5704;NA;1;NA;1
116;2;0.048;0.005;1;0;;116;2;4.00E-04;5.00E-04;0;0;0;;116;2;0.001;0.002;0;0;0;;116;2;0.0027;0.0155;0;1;0
117;NA;NA;NA;NA;NA;;117;1;0.4554;NA;1;NA;1;;117;NA;NA;NA;NA;NA;1;;117;1;0.6889;NA;1;NA;1
118;1;0.317;NA;1;NA;;118;1;0.287;NA;1;NA;1;;118;NA;NA;NA;NA;NA;1;;118;1;0.4132;NA;1;NA;1
119;1;0.373;NA;1;NA;;119;1;0.1676;NA;1;NA;0;;119;1;0.1247;NA;1;NA;0;;119;1;0.1703;NA;1;NA;0
120;1;0;NA;0;NA;;120;1;0.0014;NA;0;NA;0;;120;1;0.0021;NA;0;NA;0;;120;1;0.0013;NA;0;NA;1
121;1;0.38;NA;1;NA;;121;1;0.2147;NA;1;NA;0;;121;1;0.157;NA;1;NA;0;;121;1;0.0724;NA;1;NA;0
122;1;0.926;NA;1;NA;;122;1;0.6916;NA;1;NA;0;;122;1;0.6953;NA;1;NA;0;;122;1;0.8269;NA;1;NA;0
123;1;0.108;NA;1;NA;;123;1;0.1075;NA;1;NA;0;;123;1;0.1075;NA;1;NA;0;;123;1;0.1075;NA;1;NA;0
124;2;0.007;0.001;0;0;;124;1;0.0579;NA;1;NA;0;;124;1;0.0542;NA;1;NA;0;;124;1;0.0067;NA;0;NA;0
125;2;0.034;0.001;1;0;;125;2;0.0825;0.0073;1;0;0;;125;2;0.0887;0.0066;1;0;0;;125;2;0.1056;0.0026;1;0;0
126;1;0.088;NA;1;NA;;126;1;5.00E-04;NA;0;NA;0;;126;1;0.0011;NA;0;NA;0;;126;1;0.0291;NA;1;NA;1
127;1;0.013;NA;1;NA;;127;1;0.2804;NA;1;NA;0;;127;1;0.1953;NA;1;NA;0;;127;1;0.1192;NA;1;NA;0
128;1;0.712;NA;1;NA;;128;1;0.3376;NA;1;NA;0;;128;1;0.3688;NA;1;NA;0;;128;1;0.576;NA;1;NA;0
129;2;0.008;0.014;0;1;;129;2;6.00E-04;1.00E-04;0;0;0;;129;2;8.00E-04;1.00E-04;0;0;0;;129;2;0.0052;0.001;0;0;0
130;1;0.458;NA;1;NA;;130;1;0.0798;NA;1;NA;0;;130;1;0.0761;NA;1;NA;0;;130;1;0.1091;NA;1;NA;0
131;1;0.306;NA;1;NA;;131;2;0.024;0.0024;1;0;0;;131;1;0.2343;NA;1;NA;0;;131;1;0.6403;NA;1;NA;0
132;2;0.087;0.025;1;1;;132;2;0.3058;0.0145;1;1;0;;132;2;0.3475;0.0179;1;1;0;;132;2;0.5903;0.0507;1;1;0
133;1;0.752;NA;1;NA;;133;1;0.9598;NA;1;NA;0;;133;1;0.724;NA;1;NA;0;;133;2;0.006;0.002;0;0;0
134;1;0.482;NA;1;NA;;134;1;0.4822;NA;1;NA;0;;134;1;0.4822;NA;1;NA;0;;134;1;0.4822;NA;1;NA;0
135;1;0.019;NA;1;NA;;135;1;0.0019;NA;0;NA;0;;135;1;0.0026;NA;0;NA;0;;135;1;0.0526;NA;1;NA;0
136;2;0.008;0.16;0;1;;136;2;0;2.00E-04;0;0;0;;136;2;0;2.00E-04;0;0;0;;136;1;0.4445;NA;1;NA;0
137;1;0.005;NA;0;NA;;137;1;4.00E-04;NA;0;NA;0;;137;1;8.00E-04;NA;0;NA;0;;137;1;0.0025;NA;0;NA;0
138;2;0.001;0.043;0;1;;138;2;0.0163;5.00E-04;1;0;0;;138;2;0.017;6.00E-04;1;0;0;;138;2;3.00E-04;5.00E-04;0;0;0
139;2;0;0.001;0;0;;139;1;0.2102;NA;1;NA;0;;139;1;0.2642;NA;1;NA;0;;139;1;0.3063;NA;1;NA;0
140;1;0.541;NA;1;NA;;140;2;0.0041;0;0;0;0;;140;2;0.003;0;0;0;0;;140;2;3.00E-04;0.0013;0;0;0
141;2;0.381;0.605;1;1;;141;2;0.4425;0.1962;1;1;0;;141;2;0.4502;0.204;1;1;0;;141;2;0.4871;0.334;1;1;0
142;1;0;NA;0;NA;;142;1;0.9367;NA;1;NA;0;;142;1;0.9969;NA;1;NA;0;;142;1;0.9587;NA;1;NA;0
143;1;0;NA;0;NA;;143;1;0.0199;NA;1;NA;1;;143;NA;NA;NA;NA;NA;1;;143;1;0.0147;NA;1;NA;1
144;NA;NA;NA;NA;NA;;144;1;0.1959;NA;1;NA;0;;144;1;0.2036;NA;1;NA;0;;144;1;0.4661;NA;1;NA;0
145;2;0.033;0.258;1;1;;145;2;0.7912;0.053;1;1;0;;145;2;0.8455;0.0594;1;1;0;;145;2;0.8367;0.0653;1;1;0
146;2;0.002;0.203;0;1;;146;2;9.00E-04;0.0019;0;0;0;;146;2;6.00E-04;0.0123;0;1;0;;146;1;0.5287;NA;1;NA;0
147;2;0.002;0.013;0;1;;147;2;8.00E-04;0.0146;0;1;0;;147;2;9.00E-04;0.0138;0;1;0;;147;1;0.026;NA;1;NA;0
148;2;0;0.187;0;1;;148;1;0.015;NA;1;NA;0;;148;1;0.0372;NA;1;NA;0;;148;1;0.2958;NA;1;NA;0
149;2;0;0.15;0;1;;149;1;0.6594;NA;1;NA;0;;149;1;0.2389;NA;1;NA;0;;149;2;0;0.1343;0;1;0
150;1;0.29;NA;1;NA;;150;1;0.0046;NA;0;NA;0;;150;1;0.0044;NA;0;NA;0;;150;1;0.0055;NA;0;NA;0
151;1;0.493;NA;1;NA;;151;2;6.00E-04;0.8222;0;1;0;;151;2;6.00E-04;0.8191;0;1;0;;151;1;0.3128;NA;1;NA;0
152;2;0.002;0.978;0;1;;152;2;0.0097;0.9856;0;1;0;;152;2;0.0108;0.9675;1;1;0;;152;2;0.0169;0.9358;1;1;0
153;1;0.017;NA;1;NA;;153;2;0;0.0015;0;0;0;;153;2;3.00E-04;0.016;0;1;0;;153;1;0.0042;NA;0;NA;0
154;2;0.589;0.153;1;1;;154;1;0.1437;NA;1;NA;0;;154;1;0.1875;NA;1;NA;0;;154;2;0.0571;0.1681;1;1;0
155;1;0.952;NA;1;NA;;155;2;0.0179;0.8214;1;1;0;;155;2;0.0217;0.8455;1;1;0;;155;1;0.8239;NA;1;NA;0
156;2;0.136;0.177;1;1;;156;2;0.1279;0.0228;1;1;0;;156;2;0.1226;0.0195;1;1;0;;156;2;0.1671;0.033;1;1;0
157;2;0.013;0.025;1;1;;157;2;0.4766;0.5289;1;1;0;;157;2;0.4992;0.7057;1;1;0;;157;2;0.1562;0.7949;1;1;0
158;2;0;0;0;0;;158;2;0;0;0;0;0;;158;2;1.00E-04;0;0;0;0;;158;2;0.0047;1.00E-04;0;0;0
159;1;0.007;NA;0;NA;;159;1;0.0187;NA;1;NA;0;;159;1;0.021;NA;1;NA;0;;159;1;0.0106;NA;1;NA;0
160;1;0.002;NA;0;NA;;160;1;0.0152;NA;1;NA;0;;160;1;0.0144;NA;1;NA;0;;160;1;0.1078;NA;1;NA;0
161;2;0;0;0;0;;161;1;0.0167;NA;1;NA;0;;161;1;0.0148;NA;1;NA;0;;161;1;0.0173;NA;1;NA;0
162;1;0.005;NA;0;NA;;162;1;0.0262;NA;1;NA;0;;162;1;0.0232;NA;1;NA;0;;162;1;0.0783;NA;1;NA;0
163;1;0.774;NA;1;NA;;163;1;0.1552;NA;1;NA;0;;163;1;0.1707;NA;1;NA;0;;163;1;0.1617;NA;1;NA;0
164;2;0.035;0.781;1;1;;164;1;0.9179;NA;1;NA;0;;164;1;0.9125;NA;1;NA;0;;164;1;0.5564;NA;1;NA;0
165;1;0.002;NA;0;NA;;165;1;2.00E-04;NA;0;NA;0;;165;1;4.00E-04;NA;0;NA;0;;165;1;0.0031;NA;0;NA;0
166;1;0;NA;0;NA;;166;2;0.0985;0.024;1;1;0;;166;2;0.0457;0.0115;1;1;0;;166;2;0.0014;0.0044;0;0;0
167;2;0.007;0;0;0;;167;2;0.3466;0.2654;1;1;0;;167;2;0.5522;0.2322;1;1;0;;167;2;0.5533;0.063;1;1;0
168;1;0.002;NA;0;NA;;168;1;0.01;NA;1;NA;0;;168;1;0.0126;NA;1;NA;0;;168;1;0.0094;NA;0;NA;0
169;2;0.024;0.036;1;1;;169;2;0.0109;0.0861;1;1;0;;169;2;0.0221;0.0776;1;1;0;;169;2;0.0357;0.0209;1;1;0
170;2;0.354;0.004;1;0;;170;2;0.1223;8.00E-04;1;0;0;;170;2;0.1275;6.00E-04;1;0;0;;170;2;0.1978;0.001;1;0;0
171;2;0;0;0;0;;171;2;0;2.00E-04;0;0;0;;171;2;0;1.00E-04;0;0;0;;171;2;0;2.00E-04;0;0;0
