data,valor,ln_cambio
2002-06-01,124.7,4.825910852685991
2002-07-01,136.62,4.917203349303703
2002-08-01,142.67,4.960534271126723
2002-09-01,152.25,5.025523906590006
2002-10-01,171.03,5.1418389797116
2002-11-01,158.26,5.064239250181047
2002-12-01,158.7,5.0670156275323635
2003-01-01,149.36,5.006359499233468
2003-02-01,160.19,5.076360610713392
2003-03-01,152.85,5.029457048336844
2003-04-01,138.14,4.928267663660827
2003-05-01,133.03,4.890574666695814
2003-06-01,130.28,4.869685980408033
2003-07-01,129.2,4.861361591348501
2003-08-01,132.84,4.889145396508546
2003-09-01,129.62,4.86460709299957
2003-10-01,129.03,4.860044935463755
2003-11-01,130.76,4.87336358185601
2003-12-01,133.07,4.890875305555651
2004-01-01,130.93,4.874662829239662
2004-02-01,137.73,4.92529524692924
2004-03-01,135.51,4.909045438334623
2004-04-01,135.1,4.906015244966153
2004-05-01,142.57,4.95983310716587
2004-06-01,144.1,4.970507503005476
2004-07-01,139.4,4.937347498326424
2004-08-01,136.65,4.917422912374077
2004-09-01,131.58,4.879615031657852
2004-10-01,130.98,4.875044639789907
2004-11-01,129.05,4.860199926164623
2004-12-01,126.88,4.843241757886537
2005-01-01,124.02,4.820442842921731
2005-02-01,120.05,4.7879083226672625
2005-03-01,125.3,4.8307108619020225
2005-04-01,118.26,4.772885590392684
2005-05-01,111.64,4.715279408668121
2005-06-01,108.35,4.685366727982368
2005-07-01,106.38,4.667017589314171
2005-08-01,106.82,4.671145174911624
2005-09-01,104.03,4.644679319082804
2005-10-01,100.88,4.613931691656664
2005-11-01,97.21,4.576873586832978
2005-12-01,100.9,4.6141299273595635
2006-01-01,100.68,4.611947170267115
2006-02-01,95.44,4.55849777778966
2006-03-01,95.29,4.556924873360097
2006-04-01,95.14,4.555349491004136
2006-05-01,99.31,4.598246270915268
2006-06-01,102.35,4.628398312107299
2006-07-01,100.12,4.6063694665635735
2006-08-01,99.2,4.597138014290827
2006-09-01,99.14,4.596532992592428
2006-10-01,97.72,4.5821062463895395
2006-11-01,98.62,4.59127408079598
2006-12-01,99.29,4.598044861045503
2007-01-01,97.85,4.583435693842085
2007-02-01,95.85,4.562784469491653
2007-03-01,96.14,4.565805462465814
2007-04-01,94.59,4.549551762225079
2007-05-01,92.5,4.52720864451838
2007-06-01,90.12,4.501142115564043
2007-07-01,88.84,4.4868369990262265
2007-08-01,92.25,4.524502282920636
2007-09-01,89.92,4.498920386145381
2007-10-01,86.17,4.4563220892516755
2007-11-01,86.19,4.456554161659308
2007-12-01,86.66,4.461992416311763
2008-01-01,86.19,4.456554161659308
2008-02-01,85.36,4.446877606993498
2008-03-01,86.32,4.458061320949879
2008-04-01,85.97,4.453998398186353
2008-05-01,84.12,4.432244350834499
2008-06-01,82.11,4.4080598117206975
2008-07-01,81.06,4.395189621200163
2008-08-01,80.55,4.388878109622984
2008-09-01,87.61,4.4728951466782725
2008-10-01,100.24,4.607567310587813
2008-11-01,100.66,4.611748501348214
2008-12-01,107.19,4.674602960703428
2009-01-01,101.33,4.618382517460226
2009-02-01,99.54,4.6005595734304086
2009-03-01,97.4,4.578826210648489
2009-04-01,95.38,4.557868912870078
2009-05-01,89.91,4.498809169996681
2009-06-01,87.38,4.47026642352329
2009-07-01,86.38,4.458756167532555
2009-08-01,82.86,4.417152436649256
2009-09-01,82.13,4.408303357752101
2009-10-01,79.15,4.371344786327021
2009-11-01,79.27,4.372859746849064
2009-12-01,79.87,4.380400312929297
2010-01-01,79.59,4.376888456817758
2010-02-01,81.53,4.400971050674819
2010-03-01,78.75,4.366278277705742
2010-04-01,77.18,4.346140356109473
2010-05-01,77.66,4.352340324303521
2010-06-01,76.4,4.335982696172475
2010-07-01,76.44,4.336506119372072
2010-08-01,76.82,4.341465022917759
2010-09-01,75.57,4.325059379032629
2010-10-01,75.18,4.319885238136032
2010-11-01,75.74,4.327306422473649
2010-12-01,73.74,4.300545392805998
2011-01-01,73.19,4.293058799613136
2011-02-01,74.67,4.3130784050476105
2011-03-01,74.77,4.314416735011824
2011-04-01,72.21,4.27957854046309
2011-05-01,73.42,4.2961963780686885
2011-06-01,72.38,4.281930018135596
2011-07-01,71.76,4.27332721775054
2011-08-01,73.43,4.296332571463519
2011-09-01,78.12,4.358246106008478
2011-10-01,78.22,4.359525369327368
2011-11-01,78.06,4.357477761752469
