region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
242,2,1e-4,0.0041,FALSE,FALSE,FALSE
243,2,4e-4,0.6784,FALSE,TRUE,FALSE
244,2,0.0018,0.3417,FALSE,TRUE,FALSE
245,2,0.0353,0.0249,TRUE,TRUE,FALSE
246,2,6e-4,0.2799,FALSE,TRUE,FALSE
247,2,1e-4,0.0069,FALSE,FALSE,FALSE
248,2,0.0134,0.3042,TRUE,TRUE,FALSE
249,2,2e-4,0.3315,FALSE,TRUE,FALSE
250,2,1e-4,0.0027,FALSE,FALSE,FALSE
251,2,0,0.658,FALSE,TRUE,FALSE
252,2,1e-4,0.7922,FALSE,TRUE,FALSE
253,2,0,0.3356,FALSE,TRUE,FALSE
254,1,2e-4,NA,FALSE,NA,FALSE
255,2,0,0.3415,FALSE,TRUE,FALSE
256,2,0,0.0669,FALSE,TRUE,FALSE
257,2,0.0017,0.0365,FALSE,TRUE,FALSE
258,2,0,0.279,FALSE,TRUE,FALSE
259,2,0,0.0092,FALSE,FALSE,FALSE
260,2,0,0.2295,FALSE,TRUE,FALSE
261,2,0,0.0826,FALSE,TRUE,FALSE
262,2,9e-4,0.2379,FALSE,TRUE,FALSE
263,1,0,NA,FALSE,NA,FALSE
264,2,0,0.0015,FALSE,FALSE,FALSE
265,2,0,4e-4,FALSE,FALSE,FALSE
266,2,0,0.3769,FALSE,TRUE,FALSE
267,2,0,0.5192,FALSE,TRUE,FALSE
268,2,5e-4,0.0732,FALSE,TRUE,FALSE
269,2,0.0388,0.5802,TRUE,TRUE,FALSE
270,2,3e-4,0.6042,FALSE,TRUE,FALSE
271,2,0,2e-4,FALSE,FALSE,FALSE
272,2,1e-4,0.6044,FALSE,TRUE,FALSE
273,2,0,0.9435,FALSE,TRUE,FALSE
274,2,0,0.0147,FALSE,TRUE,FALSE
275,2,0,0.2057,FALSE,TRUE,FALSE
276,2,0,0.1902,FALSE,TRUE,FALSE
