region;AIC;BIC;HaQ
295;24,57670;25,34350;24,88450
296;27,09570;28,52360;27,66890
297;29,04120;29,72870;29,31720
298;31,24200;32,29970;31,66660
299;29,41500;30,76360;29,95640
300;32,26270;33,42620;32,72970
301;27,75800;28,31330;27,98090
302;28,05030;29,13450;28,48550
303;26,31030;26,89210;26,54390
304;26,92050;27,81950;27,28140
305;21,44180;22,07640;21,69650
306;24,91120;25,81030;25,27210
307;26,81030;27,52420;27,09690
308;24,98560;25,51450;25,19790
309;26,98810;27,80780;27,31710
310;27,20580;28,34290;27,66230
311;28,41040;29,30950;28,77130
312;26,20040;26,88790;26,47640
313;25,75080;26,59690;26,09040
314;26,96500;27,73180;27,27280
315;30,40320;31,32870;30,77470
316;25,55040;26,15860;25,79460
317;23,60830;24,48100;23,95860
318;26,63260;27,79610;27,09960
319;26,83240;27,44060;27,07660
320;25,87130;26,66460;26,18970
321;29,60920;30,64050;30,02320
322;31,58630;32,45890;31,93660
323;25,08930;26,04130;25,47150
324;23,06870;24,31150;23,56760
325;35,85850;36,96920;36,30440
326;27,35500;28,38620;27,76890
327;24,96560;26,20840;25,46450
328;27,57900;28,71600;28,03540
329;27,48860;28,62570;27,94510
330;25,20880;25,86980;25,47410
331;26,34870;26,93050;26,58230
332;32,16500;33,67230;32,77010
333;32,11330;32,80080;32,38930
334;26,33530;26,86420;26,54760
335;22,70610;23,81670;23,15190
336;27,52830;28,32160;27,84670
337;20,37760;21,46180;20,81280
338;21,74410;23,06620;22,27480
339;28,85770;31,29050;29,83430
340;30,64780;31,38820;30,94500
341;25,58210;26,21680;25,83690
342;27,94010;28,52180;28,17360
343;23,07640;23,81680;23,37370
344;28,45580;29,24900;28,77420
345;26,51560;27,49400;26,90830
346;39,93840;41,15480;40,42670
347;24,61620;25,56810;24,99830
348;26,94460;27,68500;27,24190
349;26,12260;27,07450;26,50470
350;32,25140;33,36200;32,69720
351;32,30560;33,76000;32,88940
352;24,43820;25,76040;24,96890
353;26,42760;28,01420;27,06450
354;27,85880;28,96940;28,30460
355;27,24980;28,06950;27,57890
356;31,29120;32,82490;31,90680
357;28,50000;29,82210;29,03070
358;30,63620;31,64100;31,03960
359;34,24840;35,33260;34,68370
360;35,24310;36,19510;35,62530
361;26,92080;28,21650;27,44090
362;30,06630;30,80670;30,36350
363;31,00350;32,61650;31,65100
364;30,63230;31,92800;31,15240
365;27,82930;29,04560;28,31750
366;30,94470;31,60580;31,21010
367;32,94460;34,55770;33,59210
368;26,96700;27,97190;27,37040
369;29,61290;30,30040;29,88880
370;34,52770;35,03010;34,72930
371;29,21060;30,16250;29,59270
372;29,23100;29,97140;29,52820
373;31,79550;32,64170;32,13520
374;32,66070;33,98290;33,19150
375;29,82880;31,09800;30,33830
376;30,17490;30,86240;30,45090
377;30,67280;31,25450;30,90630
378;35,30740;36,20650;35,66830
379;25,00670;25,82640;25,33580
380;26,44620;27,45110;26,84960
381;29,41130;30,07240;29,67670
382;30,35010;31,11690;30,65790
383;23,24980;23,85800;23,49390
384;28,97380;29,89930;29,34540
385;30,80640;32,39300;31,44330
386;29,60980;30,64100;30,02370
387;26,64030;27,27500;26,89510
388;28,03150;29,30080;28,54100
389;29,19080;29,93120;29,48800
390;25,24730;25,90840;25,51270
391;24,77450;28,02700;26,08020
392;32,32730;33,22630;32,68820
393;31,10750;32,32390;31,59580
394;29,60070;30,28820;29,87660
395;22,55710;23,24460;22,83310
396;33,09810;34,07650;33,49080
397;27,72750;28,94390;28,21580
398;18,99240;19,73280;19,28960
399;20,32300;21,08980;20,63080
400;27,36490;28,29040;27,73640
401;25,55490;26,21600;25,82030
402;21,55550;22,74540;22,03310
403;22,88560;24,31350;23,45880
404;42,53340;43,32670;42,85180
405;21,50030;22,42580;21,87180
406;32,03010;33,14070;32,47600
407;29,39770;30,64060;29,89660
408;28,06550;28,56790;28,26710
409;28,96340;30,10050;29,41980
410;24,64770;26,78960;25,50750
411;26,45730;27,43570;26,85010
412;29,97350;31,13700;30,44060
413;28,32480;29,62050;28,84490
