region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
158,2,0.0047,1e-4,FALSE,FALSE,FALSE,0.0201,0.0101
159,1,0.0106,NA,TRUE,NA,FALSE,0.0352,0.0201
160,1,0.10780000000000001,NA,TRUE,NA,FALSE,0.1709,0.196
161,1,0.0173,NA,TRUE,NA,FALSE,0.0302,0.0553
162,1,0.0783,NA,TRUE,NA,FALSE,0.0955,0.1658
163,1,0.1617,NA,TRUE,NA,FALSE,0.2462,0.3015
164,1,0.5564,NA,TRUE,NA,FALSE,0.6784,0.6281
165,1,0.0031,NA,FALSE,NA,FALSE,0.0251,0.0201
166,2,0.0014,0.0044,FALSE,FALSE,FALSE,0.005,0.0251
167,2,0.5533,0.063,TRUE,TRUE,FALSE,0.6884,0.1608
168,1,0.0094,NA,FALSE,NA,FALSE,0.0402,0.0352
169,2,0.0357,0.0209,TRUE,TRUE,FALSE,0.201,0.1005
170,2,0.1978,0.001,TRUE,FALSE,FALSE,0.3065,0.0251
171,2,0,2e-4,FALSE,FALSE,FALSE,0,0.005
172,1,0.673,NA,TRUE,NA,FALSE,0.7437,0.799
173,2,0.2637,0.4551,TRUE,TRUE,FALSE,0.4724,0.6734
174,2,2e-4,1e-4,FALSE,FALSE,FALSE,0.005,0
175,2,1e-4,0.6274,FALSE,TRUE,FALSE,0,0.7236
176,1,0.008,NA,FALSE,NA,FALSE,0.0854,0.0503
177,2,0,0.3582,FALSE,TRUE,FALSE,0,0.598
178,1,0,NA,FALSE,NA,FALSE,0,0
179,1,0.0197,NA,TRUE,NA,FALSE,0.0804,0.0503
180,2,6e-4,0.0296,FALSE,TRUE,FALSE,0.0352,0.1106
181,2,0,0.3158,FALSE,TRUE,FALSE,0.005,0.598
182,2,0,0.3165,FALSE,TRUE,FALSE,0.005,0.5528
183,1,3e-4,NA,FALSE,NA,FALSE,0.0151,0.0101
184,NA,NA,NA,NA,NA,FALSE,NA,NA
185,1,0.1569,NA,TRUE,NA,FALSE,0.3417,0.397
186,1,0.0212,NA,TRUE,NA,FALSE,0.1256,0.1407
187,1,0,NA,FALSE,NA,FALSE,0,0
188,2,0,0.1335,FALSE,TRUE,FALSE,0,0.2563
189,2,0.0681,0.1098,TRUE,TRUE,FALSE,0.206,0.2764
190,1,0.9449,NA,TRUE,NA,FALSE,0.9548,0.9598
191,2,0.2401,0.3738,TRUE,TRUE,FALSE,0.4673,0.5377
192,1,0.0043,NA,FALSE,NA,FALSE,0.0402,0.0251
193,1,0.0052,NA,FALSE,NA,FALSE,0.0251,0.0603
194,2,0.038,0.0387,TRUE,TRUE,FALSE,0.1608,0.2462
195,2,0,0.0364,FALSE,TRUE,FALSE,0,0.0905
196,2,3e-4,0.4483,FALSE,TRUE,FALSE,0,0.6231
197,1,0.8277,NA,TRUE,NA,FALSE,0.8945,0.8643
198,2,0,3e-4,FALSE,FALSE,FALSE,0.005,0
199,2,0.0013,0.0323,FALSE,TRUE,FALSE,0.0201,0.0854
200,2,5e-4,0.0408,FALSE,TRUE,FALSE,0.005,0.1005
201,2,1e-4,0.0185,FALSE,TRUE,FALSE,0.0101,0.1005
202,1,0.6534,NA,TRUE,NA,TRUE,0.7638,0.7739
203,2,0,0,FALSE,FALSE,FALSE,0,0
204,2,0.0026,0.6035,FALSE,TRUE,FALSE,0.0151,0.7186
205,2,0,0.5744,FALSE,TRUE,FALSE,0,0.6834
206,2,0,0.5,FALSE,TRUE,FALSE,0,0.5276
207,1,0.3054,NA,TRUE,NA,FALSE,0.5628,0.5176
208,2,0,0.0013,FALSE,FALSE,FALSE,0,0.005
209,2,0.0037,0.1643,FALSE,TRUE,FALSE,0.0603,0.3417
210,2,0.0054,0.1709,FALSE,TRUE,FALSE,0.0603,0.3668
211,2,0.0149,0.5788,TRUE,TRUE,FALSE,0.0754,0.7538
212,2,0.0169,2e-4,TRUE,FALSE,FALSE,0.1407,0.005
213,2,0.3302,0.0292,TRUE,TRUE,FALSE,0.6181,0.1709
214,1,0.7843,NA,TRUE,NA,FALSE,0.8442,0.8492
215,2,0.0085,0.2213,FALSE,TRUE,FALSE,0.0101,0.402
216,2,0,0.1533,FALSE,TRUE,FALSE,0,0.2814
217,1,0.0058,NA,FALSE,NA,FALSE,0.0251,0.0302
218,2,4e-4,0.0017,FALSE,FALSE,FALSE,0.005,0.0201
219,1,0.4898,NA,TRUE,NA,FALSE,0.6884,0.6884
220,2,2e-4,0.0364,FALSE,TRUE,FALSE,0.005,0.1407
221,1,0.2166,NA,TRUE,NA,FALSE,0.3618,0.392
222,1,0.0661,NA,TRUE,NA,FALSE,0.1658,0.1457
223,2,0.0238,0.0289,TRUE,TRUE,FALSE,0.0804,0.1407
224,2,0.053900000000000003,0.4013,TRUE,TRUE,FALSE,0.2211,0.5879
225,1,0,NA,FALSE,NA,FALSE,0,0
226,2,0,0.3143,FALSE,TRUE,FALSE,0,0.4824
227,1,0.181,NA,TRUE,NA,TRUE,0.3518,0.3065
228,2,1e-4,0.0354,FALSE,TRUE,FALSE,0.005,0.206
229,2,0.014,0.3308,TRUE,TRUE,FALSE,0.1055,0.5779
230,2,0.3328,0.0704,TRUE,TRUE,FALSE,0.5729,0.3216
231,2,0.0115,0.004,TRUE,FALSE,FALSE,0.1005,0.0352
232,2,4e-4,0.0135,FALSE,TRUE,FALSE,0,0.0503
233,1,0.0046,NA,FALSE,NA,FALSE,0.0302,0.0151
234,1,0.002,NA,FALSE,NA,FALSE,0.0101,0.0101
235,1,0.1146,NA,TRUE,NA,FALSE,0.3065,0.2814
236,1,0.2108,NA,TRUE,NA,FALSE,0.402,0.3869
237,1,0.0087,NA,FALSE,NA,FALSE,0.0603,0.0804
238,2,0.0094,0.0057,FALSE,FALSE,FALSE,0.0603,0.0352
239,2,0.234,0.0986,TRUE,TRUE,FALSE,0.4322,0.3518
240,1,0,NA,FALSE,NA,FALSE,0,0
241,2,2e-4,0.1476,FALSE,TRUE,FALSE,0.0101,0.407
242,2,1e-4,0.0041,FALSE,FALSE,FALSE,0.005,0.0201
243,2,4e-4,0.6784,FALSE,TRUE,FALSE,0.0251,0.8291
244,2,0.0018,0.3417,FALSE,TRUE,FALSE,0.0553,0.4925
245,2,0.0353,0.0249,TRUE,TRUE,FALSE,0.1457,0.1809
