;SEM IIS;;;;COM IIS;;;;0;1;1
region;AIC;BIC;HaQ;;AIC;BIC;HaQ;;;;
153;22,0099;24,8922;23,1669;;19,2712;21,2015;20,0461;;1;1;1
154;24,6124;27,5212;25,7801;;21,9409;23,2366;22,461;;1;1;1
155;26,0499;28,9322;27,2069;;21,8765;23,6747;22,5983;;1;1;1
156;23,0081;25,9168;24,1757;;21,7943;22,7199;22,1659;;1;1;1
157;21,4026;24,3114;22,5703;;18,6421;19,7792;19,0986;;1;1;1
158;19,3566;22,2653;20,5242;;17,9696;19,1596;18,4473;;1;1;1
159;20,1494;23,0317;21,3064;;17,7982;19,0146;18,2865;;1;1;1
160;18,4262;21,3085;19,5832;;18,0785;18,7924;18,3651;;1;1;1
161;20,7145;23,5967;21,8715;;18,9236;19,8491;19,2951;;1;1;1
162;22,7627;25,645;23,9197;;20,8481;22,3818;21,4638;;1;1;1
163;22,2428;25,1251;23,3998;;20,6827;22,0313;21,224;;1;1;1
164;21,8788;24,7875;23,0464;;20,9444;22,2136;21,4539;;1;1;1
165;22,1525;25,0347;23,3095;;20,3889;21,5788;20,8665;;1;1;1
166;21,5949;24,5037;22,7626;;19,1272;20,9254;19,8491;;1;1;1
167;20,4828;23,3915;21,6504;;19,4406;20,1546;19,7272;;1;1;1
168;23,4488;26,3311;24,6058;;21,9287;23,4359;22,5337;;1;1;1
169;28,736;31,6447;29,9036;;28,2347;30,1121;28,9883;;1;1;1
170;22,2612;25,17;23,4289;;21,8528;22,3817;22,0651;;1;1;1
171;18,6345;21,5433;19,8022;;15,4224;17,1147;16,1017;;1;1;1
172;29,7993;32,6816;30,9563;;29,1491;30,4448;29,6692;;1;1;1
173;26,5286;29,4374;27,6962;;25,512;26,3846;25,8622;;1;1;1
174;34,5439;37,4526;35,7115;;32,1812;33,3976;32,6695;;1;1;1
175;28,2829;31,1916;29,4505;;26,0182;27,6048;26,6551;;1;1;1
176;26,6492;29,5315;27,8062;;24,1672;25,7009;24,7829;;1;1;1
177;27,1133;30,022;28,2809;;23,6655;25,067;24,2281;;1;1;1
178;25,9433;28,852;27,1109;;24,1042;25,585;24,6987;;1;1;1
179;24,8287;27,711;25,9857;;21,6518;23,9787;22,5859;;1;1;1
180;32,1818;35,0906;33,3495;;31,8633;33,2119;32,4046;;1;1;1
181;25,2839;28,1926;26,4515;;23,4302;24,8845;24,014;;1;1;1
182;22,5254;25,4341;23,693;;21,462;22,9163;22,0458;;1;1;1
183;30,3091;33,1914;31,4662;;27,947;29,7715;28,6794;;1;1;1
184;25,5987;28,5074;26,7663;;22,1716;24,5514;23,1269;;1;1;1
185;24,4595;27,3418;25,6165;;22,1573;23,8232;22,826;;1;1;1
186;25,5256;28,4079;26,6826;;23,8527;25,307;24,4365;;1;1;1
187;28,8351;31,7174;29,9921;;22,2274;25,5063;23,5436;;1;1;1
188;34,5453;37,4541;35,7129;;33,9336;35,0177;34,3688;;1;1;1
189;28,9638;31,8725;30,1314;;27,4841;28,8855;28,0466;;1;1;1
190;34,7935;37,6758;35,9506;;34,0818;35,1924;34,5276;;1;1;1
191;37,3657;40,2745;38,5334;;36,4315;37,6479;36,9198;;1;1;1
192;16,0229;18,9052;17,1799;;15,2812;15,9423;15,5465;;1;1;1
193;20,0547;22,9634;21,2223;;13,6325;15,5893;14,418;;1;1;1
194;24,9357;27,8445;26,1034;;19,7537;22,6625;20,9213;;1;1;1
