variavel,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
R305_Desligados,-175,-147.4647551692127,-27.535244830787292,67,-6.419044631702185,73.41904463170218,15,-28.069775287189586,43.069775287189586,-61,-57.94997048417564,-3.050029515824363,-48,-5.053439413623238,-42.94656058637676,-28,20.828616540015467,-48.82861654001547,65,70.65428180065098,-5.654281800650978,-36,-6.393097967832588,-29.60690203216741,51,31.30225998883266,19.69774001116734,-1,-23.58429053167321,22.58429053167321,0,-37.52436838207233,37.52436838207233,185,166.03888354222303,18.961116457776967,R305,Desligados
R306_Admitidos,374,513.1576576050738,-139.15765760507384,315,169.50931244104805,145.49068755895195,-606,-229.8348288724782,-376.16517112752183,261,123.13501891491873,137.86498108508127,-229,-67.72467206696874,-161.27532793303126,-11,-42.70262433540433,31.70262433540433,215,200.40477622337426,14.595223776625744,-133,27.0241491718848,-160.0241491718848,52,-62.86478800894806,114.86478800894807,90,33.96972224408463,56.03027775591537,-201,-201.1626382894631,0.16263828946310355,-251,-301.671197351909,50.67119735190897,R306,Admitidos
R306_Desligados,-438,-348.16612170941676,-89.83387829058324,110,35.8926246693963,74.1073753306037,-2,29.217911760127908,-31.217911760127908,-86,-146.98512747082665,60.985127470826654,223,43.73704102792695,179.26295897207305,-247,-262.10568066116895,15.105680661168947,101,179.57086447941674,-78.57086447941674,-102,-101.37753563364973,-0.6224643663502718,-155,-128.06357498355982,-26.936425016440182,114,98.21475407019334,15.785245929806663,-7,-17.968093016642293,10.968093016642293,394,331.2871053821074,62.71289461789257,R306,Desligados
R307_Admitidos,286,640.3864193842336,-354.3864193842336,620,469.84943087188765,150.15056912811235,-571,-317.78591458192113,-253.21408541807887,85,33.39069948782455,51.60930051217545,602,336.06672656647146,265.93327343352854,-672,163.67058021531102,-835.670580215311,-69,13.02273948352402,-82.02273948352402,-25,-23.636165624136737,-1.363834375863263,98,-243.05752223015924,341.05752223015924,-85,-281.0088520553852,196.0088520553852,21,-100.51854386268853,121.51854386268853,-395,-377.54311467698074,-17.456885323019264,R307,Admitidos
R307_Desligados,-660,-511.7815872700011,-148.21841272999887,-9,59.93624194641029,-68.93624194641029,159,54.807704394234904,104.1922956057651,-227,-271.2896949546012,44.2896949546012,75,66.90779597776077,8.09220402223923,-141,-63.914407867485025,-77.08559213251498,122,209.39528219456753,-87.39528219456753,295,412.35897544689726,-117.35897544689726,24,74.70509349986196,-50.70509349986196,-164,-275.1270918874714,111.12709188747141,-325,-358.470041137076,33.47004113707601,706,470.60091488607225,235.39908511392775,R307,Desligados
R308_Admitidos,258,387.7576517326139,-129.7576517326139,355,274.27304057617084,80.72695942382916,-378,-215.97265486775302,-162.02734513224698,231,15.238936622427559,215.76106337757244,25,-82.59342553770708,107.59342553770708,-114,-71.01853673443681,-42.98146326556319,-83,-22.93391844581795,-60.06608155418205,98,13.148205562577722,84.851794437422285,-51,-27.774335996980184,-23.225664003019816,69,-33.060699369879174,102.06069936987917,-121,-165.45161709632123,44.45161709632123,-205,-203.38035724984186,-1.6196427501581354,R308,Admitidos
R308_Desligados,-287,-456.8103621158002,169.81036211580022,81,-48.65137494242563,129.65137494242563,-106,74.02168339688899,-180.021683396889,20,15.28190128532136,4.718098714678639,113,-106.20091069283748,219.20091069283748,-300,-181.94530425266248,-118.05469574733752,264,291.6846097973753,-27.684609797375288,89,-40.93135059190143,129.93135059190143,-193,-149.08287357095207,-43.917126429047926,-62,79.40557502602906,-141.40557502602906,110,30.746264871240214,79.25373512875979,214,508.61653021231064,-294.61653021231064,R308,Desligados
R309_Admitidos,358,531.4956154604365,-173.4956154604365,596,573.5393992361187,22.460600763881303,-733,-405.7872299859537,-327.2127700140463,225,100.68411488678993,124.31588511321007,-133,-160.8026796167784,27.80267961677839,-294,-90.70044761695863,-203.29955238304137,518,298.20205566928803,219.79794433071197,-203,-161.87528997185387,-41.124710028146126,4,-181.06525092129334,185.06525092129334,-8,-132.83152379242426,124.83152379242426,103,-166.06487050264727,269.0648705026473,-615,-365.96797606567725,-249.03202393432275,R309,Admitidos
R309_Desligados,-535,-592.1711602329548,57.171160232954776,104,68.07019100559091,35.929808994409086,-199,7.19420559725279,-206.1942055972528,506,209.6957632029767,296.3042367970233,-461,-331.1125153152916,-129.8874846847084,-45,-19.430915284356118,-25.569084715643882,500,293.97076459930804,206.02923540069196,-396,-262.7865455783598,-133.21345442164022,-97,-242.97233142322594,145.97233142322594,158,287.2681812846638,-129.2681812846638,-20,-182.4341218602309,162.4341218602309,630,939.191163327118,-309.19116332711803,R309,Desligados
R310_Admitidos,705,620.011670817943,84.98832918205699,275,217.3203795365903,57.67962046340969,-488,-483.46852042870455,-4.531479571295449,-104,-28.1566131386503,-75.8433868613497,863,889.2261961860748,-26.226196186074844,-882,-775.261243657965,-106.738756342035,123,109.63755028828253,13.362449711717474,4,-42.69685466053312,46.69685466053312,-192,-355.4646678931647,163.4646678931647,148,56.06172275665392,91.93827724334608,-129,-299.3230599551598,170.3230599551598,-243,-296.8156637286899,53.81566372868991,R310,Admitidos
