--------------- Ox at 18:37:04 on 06-Aug-2020 ---------------

*****************************************
             Regiao 69 - BELO HORIZONTE
*****************************************


                                             Coef       Std.Err
I:2010(12)@D_R84_Desligados           -21701.7669     5286.1938
I:2013(12)@D_R84_Desligados           -17772.1040     4870.8841
I:2014(1)@D_R84_Desligados             16677.6471     4957.8931
I:2014(2)@D_R84_Desligados              3548.1579     5093.0833
I:2014(3)@D_R84_Desligados              -243.9400     4862.7129
I:2014(4)@D_R84_Desligados             14524.7739     4924.3380
I:2014(7)@D_R84_Desligados             19428.6137     4789.6460
I:2014(8)@D_R84_Desligados            -18528.4646     4891.2863
I:2016(1)@D_R84_Desligados            -20893.4572     4838.2620
I:2016(8)@D_R84_Desligados             14363.0185     4735.1012
I:2017(1)@D_R84_Desligados            -25959.7197     4821.8750
I:2017(2)@D_R84_Desligados             13708.2409     4990.1776
I:2017(9)@D_R84_Desligados             10435.7164     4684.6753
Constant@D_R84_Desligados                271.1228      430.7956
CSeasonal@D_R84_Desligados              8194.8730     4410.3139
CSeasonal_1@D_R84_Desligados           -8112.5580     3525.6103
CSeasonal_2@D_R84_Desligados            7056.0984     3477.2012
CSeasonal_3@D_R84_Desligados            4707.8443     3022.7178
CSeasonal_4@D_R84_Desligados            2912.3600     3095.6075
CSeasonal_5@D_R84_Desligados            3110.5505     2762.7673
CSeasonal_6@D_R84_Desligados            4181.2538     3032.7744
CSeasonal_7@D_R84_Desligados            1646.9690     2989.3757
CSeasonal_8@D_R84_Desligados             209.0107     2850.4255
CSeasonal_9@D_R84_Desligados            3557.0911     2934.2814
CSeasonal_10@D_R84_Desligados           -101.5401     2655.9969



*****************************************
             Regiao 99 - Sao Paulo
*****************************************

                                              Coef       Std.Err
D_R99_Admitidos_1@D_R99_Admitidos          -0.2245        0.0402
D_R99_Desligados_1@D_R99_Admitidos         -0.0719        0.0546
D_star_Desligados@D_R99_Admitidos           0.0408        0.3060
D_star_Desligados_1@D_R99_Admitidos         1.7058        0.3457
D_star_Admitidos@D_R99_Admitidos            3.1714        0.2377
betaZ_Admitidos_1@D_R99_Admitidos          -0.2571        0.0499
betaZ_Desligados_1@D_R99_Admitidos          2.0872        0.3041
D_lpim_BR@D_R99_Admitidos              159108.4992    21091.4540
I:2005(12)@D_R99_Admitidos               1718.3246     9022.2399
I:2006(12)@D_R99_Admitidos              -5283.3068     8992.2480
I:2010(1)@D_R99_Admitidos               -7801.1703     9092.9551
I:2010(7)@D_R99_Admitidos              -54247.2562     9632.8835
I:2010(10)@D_R99_Admitidos               3728.4464     9312.1324
I:2010(12)@D_R99_Admitidos              16934.2988     9546.8880
I:2011(9)@D_R99_Admitidos                3304.9407     8937.9506
I:2011(12)@D_R99_Admitidos              -9342.1899     9013.3103
I:2012(4)@D_R99_Admitidos              -11994.2416     8966.3725
I:2012(6)@D_R99_Admitidos              -15503.9114     8901.0670
I:2012(7)@D_R99_Admitidos              -16723.0819     8924.9010
I:2012(9)@D_R99_Admitidos               -6434.7535     9053.0366
I:2013(1)@D_R99_Admitidos              -10946.8774     9342.7961
I:2013(4)@D_R99_Admitidos                6842.1100     9214.9610
I:2013(6)@D_R99_Admitidos               -9324.3182     8937.9190
I:2013(9)@D_R99_Admitidos                8254.2045     8911.1409
I:2013(11)@D_R99_Admitidos             -19625.8432     8975.9095
I:2013(12)@D_R99_Admitidos             -16152.8739     9196.1545
I:2014(1)@D_R99_Admitidos               30849.1795     9422.3405
I:2014(3)@D_R99_Admitidos              -37357.2093     9194.5580
I:2014(12)@D_R99_Admitidos             -22493.3975     9076.0698
I:2015(1)@D_R99_Admitidos                4179.4136     9306.9156
I:2016(3)@D_R99_Admitidos              -10688.7994     9170.5871
Constant@D_R99_Admitidos                 -736.1310      782.5259
CSeasonal@D_R99_Admitidos               28229.1539     7288.9649
CSeasonal_1@D_R99_Admitidos             50023.5743     6975.5268
CSeasonal_2@D_R99_Admitidos             -6466.1927     6487.8496
CSeasonal_3@D_R99_Admitidos             -1364.3961     5449.4270
CSeasonal_4@D_R99_Admitidos             -6196.2366     5919.7748
CSeasonal_5@D_R99_Admitidos             -1141.1370     5091.2790
CSeasonal_6@D_R99_Admitidos              -528.4809     5513.8827
CSeasonal_7@D_R99_Admitidos             17431.4386     5407.5526
CSeasonal_8@D_R99_Admitidos             10416.3580     5083.9923
CSeasonal_9@D_R99_Admitidos              1513.3206     5302.6259
CSeasonal_10@D_R99_Admitidos            12594.6371     4368.5184
D_R99_Admitidos_1@D_R99_Desligados         -0.1144        0.0385
D_R99_Desligados_1@D_R99_Desligados        -0.3507        0.0524
D_star_Desligados@D_R99_Desligados          3.1248        0.2934
D_star_Desligados_1@D_R99_Desligados        1.4334        0.3314
D_star_Admitidos@D_R99_Desligados          -0.2104        0.2278
betaZ_Admitidos_1@D_R99_Desligados          0.2299        0.0478
betaZ_Desligados_1@D_R99_Desligados        -0.6354        0.2915
D_lpim_BR@D_R99_Desligados              79780.9010    20217.8011
I:2005(12)@D_R99_Desligados             20784.5223     8648.5195
I:2006(12)@D_R99_Desligados             22802.7031     8619.7699
I:2010(1)@D_R99_Desligados             -12869.7457     8716.3056
I:2010(7)@D_R99_Desligados             -11068.7921     9233.8690
I:2010(10)@D_R99_Desligados            -29904.6929     8926.4040
I:2010(12)@D_R99_Desligados             33847.4864     9151.4356
I:2011(9)@D_R99_Desligados               7646.4923     8567.7217
I:2011(12)@D_R99_Desligados             31563.1173     8639.9598
I:2012(4)@D_R99_Desligados              -2819.2679     8594.9663
I:2012(6)@D_R99_Desligados             -12342.4762     8532.3658
I:2012(7)@D_R99_Desligados             -13404.8524     8555.2126
I:2012(9)@D_R99_Desligados              -4912.3819     8678.0405
I:2013(1)@D_R99_Desligados               8292.6905     8955.7976
I:2013(4)@D_R99_Desligados              11009.3767     8833.2577
I:2013(6)@D_R99_Desligados              -4774.3972     8567.6913
I:2013(9)@D_R99_Desligados              -1351.0276     8542.0225
I:2013(11)@D_R99_Desligados            -16849.2980     8604.1082
I:2013(12)@D_R99_Desligados             17496.8558     8815.2302
I:2014(1)@D_R99_Desligados             -11921.3023     9032.0470
I:2014(3)@D_R99_Desligados               3383.5381     8813.6999
I:2014(12)@D_R99_Desligados             18582.6598     8700.1197
I:2015(1)@D_R99_Desligados             -25642.0011     8921.4033
I:2016(3)@D_R99_Desligados              33861.8518     8790.7218
Constant@D_R99_Desligados               -2373.7979      750.1120
CSeasonal@D_R99_Desligados             -23856.4490     6987.0405
CSeasonal_1@D_R99_Desligados            -4600.2625     6686.5856
CSeasonal_2@D_R99_Desligados           -14831.0980     6219.1091
CSeasonal_3@D_R99_Desligados           -20942.6228     5223.7001
CSeasonal_4@D_R99_Desligados           -19870.3442     5674.5651
CSeasonal_5@D_R99_Desligados           -20900.7527     4880.3874
CSeasonal_6@D_R99_Desligados           -21933.9476     5285.4859
CSeasonal_7@D_R99_Desligados           -12777.0559     5183.5602
CSeasonal_8@D_R99_Desligados           -19955.8340     4873.4025
CSeasonal_9@D_R99_Desligados           -23782.0764     5082.9798
CSeasonal_10@D_R99_Desligados          -22699.6746     4187.5651
