,Data,lpim_BR,ln_Selic_aa,ln_cambio,ln_IPCA,ln_oil,Dln_IPCA,EmpLiq
"2000-11","2000M11",4.3853494825506694,0.15277706299999999,4.595927605,7.4227322740000004,3.481855285,0.0031958279999999561,39568
"2000-12","2000M12",4.3030347062352128,0.15007182299999999,4.6157143999999999,7.4286124180000002,3.230013569,0.0058801439999998095,-471695
"2001-1","2001M01",4.2940368678721414,0.14399894599999999,4.6087637209999999,7.4342987279999999,3.2441536320000002,0.0056863099999997502,401383
"2001-2","2001M02",4.2582296838577456,0.14149942500000001,4.6630616639999998,7.438889284,3.3109079100000001,0.0045905560000001344,332168
"2001-3","2001M03",4.3843550512833591,0.14318292699999999,4.6955591859999997,7.442680169,3.194583132,0.0037908849999999106,184313
"2001-4","2001M04",4.3219566455216887,0.148603282,4.7376885660000001,7.4484619829999996,3.240637317,0.0057818139999996632,250651
"2001-5","2001M05",4.4033750875780351,0.15210652299999999,4.7802992719999997,7.4525532520000004,3.3481481610000001,0.0040912690000007856,257157
"2001-6","2001M06",4.3563064005974548,0.159424908,4.8018054770000003,7.4577419989999996,3.322154174,0.0051887469999991609,164992
"2001-7","2001M07",4.3987764786228452,0.17031458099999999,4.8259910420000001,7.4709532149999998,3.2003044389999999,0.013211216000000192,57704
"2001-8","2001M08",4.4273912874165307,0.173916827,4.8522646109999998,7.477926589,3.245322995,0.0069733740000001987,107085
"2001-9","2001M09",4.3602890456369989,0.174492547,4.9152251089999996,7.4807215510000002,3.2402458510000001,0.0027949620000002895,132255
"2001-10","2001M10",4.3975989689195254,0.17448440100000001,4.925730787,7.4889871750000001,3.0194488000000002,0.0082656239999998604,96952
"2001-11","2001M11",4.3685103555818419,0.17436121299999999,4.8375509430000001,7.4960640300000003,2.941276088,0.0070768550000002151,1638
"2001-12","2001M12",4.2364363631272592,0.174374056,4.7608910609999997,7.5025451419999998,2.923161581,0.006481111999999456,-553784
"2002-1","2002M01",4.282206299391671,0.174374056,4.7162642330000004,7.5077339849999998,2.9693882980000001,0.0051888429999999985,332720
"2002-2","2002M02",4.2442003177664782,0.17366852199999999,4.709800435,7.5113278000000001,3.0101281539999998,0.0035938150000003333,293378
"2002-3","2002M03",4.3489867805956814,0.17161390400000001,4.670583325,7.5173088720000001,3.1650530180000001,0.0059810719999999762,243410
"2002-4","2002M04",4.3770140928503372,0.16868765299999999,4.6576677550000003,7.5252787239999996,3.244543572,0.0079698519999995554,305356
"2002-5","2002M05",4.3870141761849206,0.16860861999999999,4.7264138930000001,7.5273743189999998,3.235929579,0.0020955950000001167,259589
"2002-6","2002M06",4.3502779363593014,0.16635511,4.8259108529999999,7.5315630990000004,3.1834558799999999,0.0041887800000006692,196417
"2002-7","2002M07",4.4224485491727972,0.16695175800000001,4.9172033490000002,7.5433951610000003,3.2492110250000001,0.011832061999999866,138947
"2002-8","2002M08",4.4260435200906558,0.16415350300000001,4.9605342710000002,7.5498722880000004,3.2820383999999998,0.006477127000000138,148028
"2002-9","2002M09",4.4079380164583828,0.16461766,5.0255239070000002,7.5570446110000002,3.3442742339999998,0.0071723229999998139,224525
"2002-10","2002M10",4.4908810395859637,0.17886814000000001,5.1418389800000002,7.5700617360000004,3.3160025360000001,0.013017125000000185,55904
"2002-11","2002M11",4.4296256134731609,0.192676555,5.06423925,7.5998168709999998,3.1986731179999999,0.029755134999999377,6309
"2002-12","2002M12",4.3121405072097154,0.20729304100000001,5.067015628,7.6205972380000002,3.3506055959999999,0.02078036700000041,-537544
"2003-1","2003M01",4.3040650932041702,0.223602879,5.0063594990000002,7.6428502199999997,3.4414070149999998,0.022252981999999477,338940
"2003-2","2003M02",4.2738844760541781,0.22854258699999999,5.0763606110000001,7.6584305270000002,3.485798913,0.01558030700000046,335344
"2003-3","2003M03",4.3489867805956814,0.23361915699999999,5.0294570480000003,7.6706570410000001,3.4124355830000002,0.012226513999999966,126842
"2003-4","2003M04",4.3372907408324899,0.23364131199999999,4.9282676639999998,7.6803095810000004,3.2231937620000002,0.0096525400000002648,263257
"2003-5","2003M05",4.3782695857961693,0.233554657,4.8905746670000001,7.6863918460000002,3.2484522789999999,0.0060822649999998646,220649
"2003-6","2003M06",4.334672938290411,0.23179635400000001,4.8696859799999999,7.6848896849999999,3.3158469620000002,-0.0015021610000003349,190828
"2003-7","2003M07",4.3981460165537651,0.226013783,4.8613615909999996,7.686887477,3.346327906,0.0019977920000000537,71029
"2003-8","2003M08",4.401829261970061,0.21104458000000001,4.8891453970000001,7.6902814480000004,3.3953709170000002,0.0033939710000003842,141641
"2003-9","2003M09",4.4508528256037341,0.19078246800000001,4.864607093,7.6980518560000002,3.2994666339999998,0.0077704079999998399,215044
"2003-10","2003M10",4.499809670330265,0.17845148999999999,4.8600449350000003,7.7009468700000001,3.3874511599999999,0.002895013999999918,106269
"2003-11","2003M11",4.4379342666121779,0.168157841,4.8733635819999996,7.7043431330000001,3.3594026920000002,0.003396262999999955,46458
