Data,R1_Desligados,R2_Desligados,R3_Desligados,R4_Desligados,R5_Desligados,R6_Desligados,R7_Desligados,R8_Desligados,R9_Desligados,R10_Desligados,R11_Desligados,R12_Desligados,R13_Desligados,R14_Desligados,R15_Desligados,R16_Desligados,R17_Desligados,R18_Desligados,R19_Desligados,R20_Desligados,R21_Desligados,R22_Desligados,R23_Desligados,R24_Desligados,R25_Desligados,R26_Desligados,R27_Desligados,R28_Desligados,R29_Desligados,R30_Desligados,R31_Desligados,R32_Desligados,R33_Desligados,R34_Desligados,R35_Desligados,R36_Desligados,R37_Desligados,R38_Desligados,R39_Desligados,R40_Desligados,R41_Desligados,R42_Desligados,R43_Desligados,R44_Desligados,R45_Desligados,R46_Desligados,R47_Desligados,R48_Desligados,R49_Desligados,R50_Desligados,R51_Desligados,R52_Desligados,R53_Desligados,R54_Desligados,R55_Desligados,R56_Desligados,R57_Desligados,R58_Desligados,R59_Desligados,R60_Desligados,R61_Desligados,R62_Desligados,R63_Desligados,R64_Desligados,R65_Desligados,R66_Desligados,R67_Desligados,R68_Desligados,R69_Desligados,R70_Desligados,R71_Desligados,R72_Desligados,R73_Desligados,R74_Desligados,R75_Desligados,R76_Desligados,R77_Desligados,R78_Desligados,R79_Desligados,R80_Desligados,R81_Desligados,R82_Desligados,R83_Desligados,R84_Desligados,R85_Desligados,R86_Desligados,R87_Desligados,R88_Desligados,R89_Desligados,R90_Desligados,R91_Desligados,R92_Desligados,R93_Desligados,R94_Desligados,R95_Desligados,R96_Desligados,R97_Desligados,R98_Desligados,R99_Desligados,R100_Desligados,R101_Desligados,R102_Desligados,R103_Desligados,R104_Desligados,R105_Desligados,R106_Desligados,R107_Desligados,R108_Desligados,R109_Desligados,R110_Desligados,R111_Desligados,R112_Desligados,R113_Desligados,R114_Desligados,R115_Desligados,R116_Desligados,R117_Desligados,R118_Desligados,R119_Desligados,R120_Desligados,R121_Desligados,R122_Desligados,R123_Desligados,R124_Desligados,R125_Desligados,R126_Desligados,R127_Desligados,R128_Desligados,R129_Desligados,R130_Desligados,R131_Desligados,R132_Desligados,R133_Desligados,R134_Desligados,R135_Desligados,R136_Desligados,R137_Desligados,R1_Admitidos,R2_Admitidos,R3_Admitidos,R4_Admitidos,R5_Admitidos,R6_Admitidos,R7_Admitidos,R8_Admitidos,R9_Admitidos,R10_Admitidos,R11_Admitidos,R12_Admitidos,R13_Admitidos,R14_Admitidos,R15_Admitidos,R16_Admitidos,R17_Admitidos,R18_Admitidos,R19_Admitidos,R20_Admitidos,R21_Admitidos,R22_Admitidos,R23_Admitidos,R24_Admitidos,R25_Admitidos,R26_Admitidos,R27_Admitidos,R28_Admitidos,R29_Admitidos,R30_Admitidos,R31_Admitidos,R32_Admitidos,R33_Admitidos,R34_Admitidos,R35_Admitidos,R36_Admitidos,R37_Admitidos,R38_Admitidos,R39_Admitidos,R40_Admitidos,R41_Admitidos,R42_Admitidos,R43_Admitidos,R44_Admitidos,R45_Admitidos,R46_Admitidos,R47_Admitidos,R48_Admitidos,R49_Admitidos,R50_Admitidos,R51_Admitidos,R52_Admitidos,R53_Admitidos,R54_Admitidos,R55_Admitidos,R56_Admitidos,R57_Admitidos,R58_Admitidos,R59_Admitidos,R60_Admitidos,R61_Admitidos,R62_Admitidos,R63_Admitidos,R64_Admitidos,R65_Admitidos,R66_Admitidos,R67_Admitidos,R68_Admitidos,R69_Admitidos,R70_Admitidos,R71_Admitidos,R72_Admitidos,R73_Admitidos,R74_Admitidos,R75_Admitidos,R76_Admitidos,R77_Admitidos,R78_Admitidos,R79_Admitidos,R80_Admitidos,R81_Admitidos,R82_Admitidos,R83_Admitidos,R84_Admitidos,R85_Admitidos,R86_Admitidos,R87_Admitidos,R88_Admitidos,R89_Admitidos,R90_Admitidos,R91_Admitidos,R92_Admitidos,R93_Admitidos,R94_Admitidos,R95_Admitidos,R96_Admitidos,R97_Admitidos,R98_Admitidos,R99_Admitidos,R100_Admitidos,R101_Admitidos,R102_Admitidos,R103_Admitidos,R104_Admitidos,R105_Admitidos,R106_Admitidos,R107_Admitidos,R108_Admitidos,R109_Admitidos,R110_Admitidos,R111_Admitidos,R112_Admitidos,R113_Admitidos,R114_Admitidos,R115_Admitidos,R116_Admitidos,R117_Admitidos,R118_Admitidos,R119_Admitidos,R120_Admitidos,R121_Admitidos,R122_Admitidos,R123_Admitidos,R124_Admitidos,R125_Admitidos,R126_Admitidos,R127_Admitidos,R128_Admitidos,R129_Admitidos,R130_Admitidos,R131_Admitidos,R132_Admitidos,R133_Admitidos,R134_Admitidos,R135_Admitidos,R136_Admitidos,R137_Admitidos
1999M11,1488,2551,66,980,2,65,7125,29,491,31,613,187,7040,585,310,2475,15,950,1310,1345,3675,974,207,832,601,368,3119,234,343,816,580,13548,200,424,202,1004,1373,348,261,5414,320,113,1495,4239,489,1509,1478,2474,14640,56,403,4621,31,245,4522,590,2571,2279,1251,22519,1988,3904,2118,3464,459,925,19019,1569,47619,7535,4322,12741,1672,8010,1009,3590,8627,2557,920,5384,2166,1258,4882,73770,15660,33247,13222,14650,9113,17118,28071,4022,2089,5042,4431,20790,10823,967,164294,3017,920,15096,3183,3149,4405,1375,1629,1563,24503,5562,7138,2136,9512,6757,4355,6671,6847,1731,4146,32352,2413,3778,561,5926,2322,3004,3545,667,1694,5120,1607,297,438,15205,1740,4356,11896,1629,2396,30,886,16,292,7429,27,633,51,777,205,7749,655,532,2695,62,1127,1553,1278,4786,1368,196,245,370,429,3456,126,184,944,1004,16848,163,703,232,1074,1775,361,249,6471,370,90,1398,4828,511,1129,1865,4216,18832,93,406,15308,64,352,5482,636,1478,2695,1044,21284,2339,5087,1876,3423,516,822,14412,1587,48232,7819,4914,12619,1888,9380,1204,2874,10177,1850,746,2740,2331,2062,5082,81510,8330,13504,3841,7680,5141,7578,23875,3233,2310,2388,3967,23587,10967,1133,165979,2377,900,12286,1740,3575,5284,1623,1825,1731,26894,6472,8883,3601,11461,8295,5156,7318,8268,2407,5232,38450,3175,6652,542,5103,2142,2259,3276,523,827,4961,1918,369,406,15658,1508,4138,15229
1999M12,1841,3393,64,1013,16,221,9611,51,634,35,640,133,7430,982,433,2806,44,1296,1686,1621,3935,1338,164,426,885,372,4422,197,474,1504,740,14092,202,635,176,1094,1648,341,1237,7508,371,140,1609,6177,624,2012,1551,3084,17122,81,418,6058,28,258,4357,774,2207,2460,1122,20701,2559,5055,2364,5339,797,1160,17851,2102,76004,8297,7080,14070,2795,11085,2164,3694,11220,2925,906,3534,2269,1617,5850,75895,13362,31579,8845,17038,10767,10055,26379,7399,2210,7493,4936,23388,11850,1049,172321,7362,1214,13771,3914,3548,5477,1748,1900,1285,40036,10788,9062,5742,14094,23248,7231,9124,9300,2617,5803,40469,2883,6270,774,7345,3136,5049,4858,1024,1359,7220,1861,287,475,17104,1305,4355,14162,1522,1841,36,848,5,68,5343,17,479,37,732,104,5874,541,352,1622,60,739,1265,841,3214,847,145,248,223,309,2726,116,152,871,431,11746,100,350,159,867,1233,417,124,4845,295,74,1389,3669,329,828,1224,1381,13423,51,290,3890,53,292,3911,384,1149,1958,805,16250,1963,3970,1146,2632,415,685,11397,1268,35288,5975,3088,8871,1405,6801,860,2208,9620,1548,530,2486,1960,1931,4710,63155,4780,9691,2503,6313,3941,5520,17967,2012,1687,1582,3664,21277,9120,1319,148138,1226,551,10103,923,2924,3830,988,1169,1148,22938,4748,5754,1968,9250,7698,4485,5386,5469,1869,3945,31990,2741,5699,407,4355,1418,1543,1631,509,655,3357,1190,244,331,11596,942,3353,12451
2000M01,1210,1922,49,647,17,15,5479,49,437,37,597,83,6490,581,275,2106,16,879,1174,809,3382,1005,167,241,323,356,2813,97,140,697,688,13903,258,536,233,731,1465,315,147,6068,466,83,1392,5107,458,890,1800,3547,15438,104,350,3939,27,286,3089,451,1414,1934,771,17637,1772,3957,1273,2724,589,658,11990,1647,38027,6856,3726,10045,1644,7274,1148,2254,9080,1677,666,2757,2459,1584,4792,69377,7688,13358,3222,7468,7920,7235,22462,2983,1980,3865,3557,20997,10017,1150,130930,2526,803,9921,2144,2820,4639,1366,1487,1317,22385,5039,6931,2282,9369,5764,4084,6719,5606,1741,4060,29782,2352,6286,510,4418,1698,2020,2542,449,792,3906,1356,284,375,13587,1135,3913,11834,2262,3159,66,1052,61,46,8534,39,587,52,2013,429,9649,1185,446,3198,37,1275,1775,2596,5533,1611,582,524,418,362,4569,138,256,913,1002,21630,324,744,249,1362,1778,680,243,6777,489,133,1935,5872,888,1262,2317,2534,18457,324,467,6046,145,421,5199,973,1551,3364,1325,25237,3297,6705,2345,4377,892,868,14997,2046,50407,7723,4904,13558,2121,9764,1856,3365,14129,2199,841,4318,2537,2936,5966,77936,10072,19330,4252,9468,6107,9196,28957,4342,2745,3362,5481,22854,12457,1723,178913,2451,979,13411,1815,3642,6209,1829,2337,1759,30561,10331,11540,3409,14691,9112,6497,7440,8816,3284,7229,45102,3371,4375,747,6059,2681,2794,3662,1013,1172,11490,1958,518,580,18799,2101,5574,16950
2000M02,2360,2646,44,866,13,18,6629,14,380,15,759,147,10549,664,313,2121,19,792,1389,1335,3615,1050,198,283,369,318,3428,119,163,835,651,14569,217,1031,253,1324,1766,468,126,5307,380,81,1645,4336,566,862,1771,5699,15036,66,470,7994,44,278,4279,585,1046,2451,864,19273,2016,4491,1637,3215,596,801,13954,1665,46243,6624,4644,12510,2033,8485,1531,2568,10861,1735,793,3240,2331,1624,5513,72868,7856,13143,3953,8616,6314,8242,26436,3612,2238,2618,5207,20990,14603,1335,158227,2575,1089,12548,1774,3392,6230,1615,1748,1654,28446,8324,14971,2846,12372,9424,5039,7722,8120,1914,4550,36097,2401,4452,649,5605,2024,2237,2992,667,936,5273,1593,301,336,17271,1278,4149,18422,2565,3774,91,1031,136,36,8262,73,651,37,1135,196,10356,1434,446,3376,33,1521,2230,2418,4157,1424,384,441,587,372,4873,129,267,860,1187,17001,298,907,223,1567,1737,655,496,7305,545,247,1845,5477,864,1622,2387,1936,19287,183,1163,5687,184,610,5636,1213,1799,3098,1716,26037,3288,6115,2149,5529,1193,1374,19023,2553,59758,10037,6603,16922,2931,13167,2240,4022,14852,3382,879,4600,3141,2557,6561,88858,14772,25634,5619,10770,6248,11970,34930,5448,2955,5083,6048,27589,15074,1725,233123,3112,1530,14122,2317,4539,7529,2124,3006,1875,33147,15244,19229,6455,17509,11886,7139,7590,13691,2081,9534,41472,3102,4069,971,9842,2990,4683,5243,1506,1997,9271,3181,435,854,20795,2035,8066,27471
2000M03,2243,2766,45,859,4,35,6304,32,512,31,823,168,8265,1142,282,2360,30,1184,1416,2122,3554,1267,279,297,227,442,3442,155,184,1019,617,16588,280,773,257,1033,1974,400,162,6862,524,108,1587,6002,563,1400,1851,7234,17880,143,343,8057,55,321,4292,655,1692,2696,1118,19874,2140,5593,1525,3779,556,865,14410,1791,50131,6512,4716,12803,2058,9623,1646,3638,13453,2112,799,3093,2900,2242,5417,75053,7114,14806,4307,8306,4924,8679,25597,3476,2313,3027,4637,23232,11663,1297,164468,2595,1111,11914,1862,4087,6475,1640,1893,1537,30012,9389,9341,3236,13183,9322,6541,8064,10796,2474,4780,43236,3302,4509,680,5964,2022,2514,3497,819,1019,5373,1789,334,530,16405,1513,4797,15524,2547,3829,129,1299,61,41,8151,75,600,25,1193,243,8629,1102,435,3082,30,1338,2630,1776,4309,1224,331,535,1284,682,4151,234,199,697,1002,16057,404,1120,410,1216,1730,875,369,7456,513,163,1858,5088,792,1123,2076,1504,16022,232,714,5051,49,611,4783,1009,1758,3518,1343,23563,3223,6848,2208,4874,986,1039,15898,1935,53239,7949,5530,14628,2190,9650,1899,4030,13975,2354,893,3768,3016,1874,6114,78046,10955,20884,6448,9604,6252,10465,30942,4681,2977,4364,4904,24470,14860,1373,190676,3247,1683,14370,2325,4360,8278,2198,2652,1831,41205,9669,12050,3718,16875,10980,7805,10624,10706,3242,10285,47131,4190,7227,847,10034,2730,3929,5685,1088,3455,6620,3322,437,930,20497,2445,8688,24410
2000M04,6264,2518,47,756,5,20,5883,11,465,34,596,117,5990,596,374,1749,18,760,1563,1118,3410,1068,229,249,297,267,2893,146,140,959,458,13290,169,602,294,1067,1579,389,154,4920,309,90,1335,4159,655,992,1528,4598,14290,88,842,12252,65,289,4827,584,1317,2386,760,20834,1885,4092,1406,2979,586,712,13405,1468,43974,6460,4341,11233,1513,7745,1232,2545,11895,1533,647,2887,2244,1657,5099,66467,7106,19356,3480,7063,4528,8254,22756,2858,2050,3061,3825,21889,9745,1061,151107,2061,1034,10633,1647,4853,5275,1389,1406,1092,29484,7046,8657,2545,10127,7071,4413,7092,7908,1815,4136,36041,2731,4222,607,5689,2026,2746,3520,663,1037,4420,2465,269,358,15794,1352,4538,12508,2262,3652,81,1006,17,32,8629,27,579,103,1968,183,9695,1257,299,3042,32,1677,2990,2803,4678,1275,314,353,686,450,4313,290,244,842,806,16582,324,1429,726,1389,1643,592,273,6736,445,173,1706,5031,788,1260,2084,2868,17217,129,534,4595,116,364,5755,859,2682,3413,1382,26254,3051,5894,2096,4556,891,989,17839,2104,52855,7079,6405,18656,2358,10271,1977,4234,14239,2436,996,5041,2944,2572,6373,82470,9659,21234,6410,12892,7097,10043,29258,3810,2946,3518,4512,23327,12837,1399,192394,3949,1797,14281,2325,5790,6970,2101,2047,1640,32898,8336,11639,3169,13083,8577,6193,11396,11257,2653,7451,45445,3379,4677,961,7379,3046,3871,5083,808,2800,6587,2913,468,938,22208,2067,6992,18927
2000M05,4062,2968,50,957,6,11,6710,31,524,38,654,115,7256,921,290,2330,35,1144,1877,1212,3958,1002,253,307,1159,349,3544,138,128,747,521,15078,180,847,498,1079,1303,379,96,5448,402,89,1864,4192,494,1114,1944,1795,14911,127,527,7295,82,235,5347,847,1586,2907,770,19967,2012,4523,2241,3430,556,705,16358,1651,48413,7725,4865,14418,1646,9180,1837,3456,11818,1878,692,2897,2991,1651,5772,75850,9040,15989,4124,10324,5340,9148,26391,3106,2431,3023,4366,22394,11396,1273,180108,2407,1198,11904,2067,3632,4808,1503,2092,1392,30925,8717,10708,4441,11376,7784,5127,8942,8827,2552,5422,38517,4263,5190,599,6357,2762,2532,5226,807,1060,5349,2340,341,428,16800,1926,5228,15440,2509,4251,98,1468,12,14,9849,56,746,18,1138,245,9512,1021,502,3345,18,1122,2775,2652,4822,1569,383,465,775,348,4363,730,378,920,957,17453,235,1120,283,2188,1671,767,346,6523,435,194,2272,4818,729,1466,2579,3762,17151,215,477,6086,145,423,6733,1068,1720,3964,1163,24373,3151,6772,2734,4648,982,1310,31743,3152,55190,8925,8364,31725,2416,14441,3624,7563,13920,2926,914,6312,3095,2083,6872,84580,20068,43232,11268,17368,8901,21816,40495,4834,4543,11164,4928,24138,13119,1439,203356,8080,2539,20722,5262,4418,6039,2047,1761,1607,33060,7480,12043,2760,13588,8952,6156,9140,9584,2371,6340,45586,2810,4227,961,8415,2980,4193,6096,1545,4681,7491,3769,514,910,20892,2011,8028,19315
2000M06,2146,2933,46,837,5,24,8817,60,512,29,695,175,7019,624,317,2451,26,1046,1640,1245,3673,1086,241,253,453,314,4382,185,190,720,466,14300,166,812,330,1202,1379,513,181,5755,330,92,1404,3564,503,1123,1546,1290,14737,106,330,5001,44,258,4591,843,1487,2622,924,20290,1846,4462,2074,3408,530,745,19543,1524,44848,7071,4776,16199,1863,9356,2607,5849,10063,1819,679,2826,2566,1605,5888,70185,6901,14615,3714,9470,5035,13633,25936,2964,2452,3155,4390,20289,12410,1153,166894,2333,1101,11513,1904,3688,5583,1365,1880,1365,27365,7099,7949,2390,12091,7304,4539,8491,8094,2212,5338,36885,3157,3902,589,6280,2199,2366,3839,989,1407,5844,1802,304,508,17289,1392,4678,14335,2613,4630,153,1564,12,31,9297,132,613,30,1460,228,9054,990,581,4000,29,1751,2427,2428,4830,1536,446,1577,1607,540,4113,408,299,1431,1064,18557,440,1014,189,1273,2151,711,265,6959,471,179,1854,5220,643,1208,2162,2055,17078,282,509,5802,147,421,5380,1145,1756,3442,1109,24675,3383,5984,3458,4390,1557,1325,39699,2276,53469,8061,8586,39261,3788,14245,3354,7080,12779,2494,931,6373,4179,2035,8372,81117,10049,27348,8659,12309,9300,16571,32060,5133,4532,5698,6462,23321,14095,1324,189744,3318,1566,18383,6840,3697,6669,1831,1972,1653,31927,7462,10064,2645,13538,8144,5941,8659,8714,2189,5207,42842,2918,4131,719,7662,3568,5380,6805,1436,1705,7554,3590,805,698,23450,1983,5775,18222
2000M07,1701,2748,82,802,1,22,6696,24,519,46,859,301,6556,688,326,2280,72,1131,1538,1452,3278,951,245,469,383,358,3287,308,289,862,697,14389,189,583,240,1145,1417,384,121,5076,487,130,1457,4648,676,1086,1896,1641,15732,115,832,4131,47,295,4066,935,1065,2633,866,22094,1868,4521,2209,3853,721,768,23756,1602,46235,6431,5501,17819,1839,9789,2515,3815,10608,1634,715,3827,2571,1442,6121,71805,9366,16945,4513,9284,5072,8388,24678,3309,3014,2914,4059,19429,10088,1056,158829,2354,1125,11609,2001,3210,4902,1330,1539,1401,28004,5799,8427,2500,10749,7219,4442,7862,7394,2061,7422,36185,2661,3627,567,7883,2057,2238,3933,812,1218,5880,2089,309,377,15096,1470,5102,14190,2396,4338,95,1608,20,84,9077,39,729,52,1059,290,7837,847,470,3841,54,1289,1835,2856,4678,1489,496,597,663,439,3952,371,166,931,789,17520,300,723,232,1463,2051,747,306,6033,454,116,1707,7201,754,1415,2294,1800,17947,72,780,4937,72,565,4922,991,1930,3422,1047,24415,3238,6189,3451,4171,1633,1011,26917,1908,53590,6947,6142,25355,3346,11306,2236,4285,12168,2595,913,4543,4212,1797,6122,80189,9331,22873,5141,11813,12708,10914,30314,3671,3303,3401,6290,23594,13089,1162,188566,2864,989,12871,3433,3421,6203,1775,1754,1678,33888,7189,9732,2426,11722,8137,5668,7448,7877,2122,4333,42159,2827,3492,691,7740,2925,2921,5075,798,1396,7327,2641,551,644,19266,1981,6012,18139
2000M08,1852,3079,93,1007,8,20,6815,18,509,73,1109,160,7511,827,337,2500,33,1039,1342,1971,4417,1186,243,365,352,357,3911,450,166,725,644,16856,249,986,228,1103,1282,431,146,5954,481,131,1576,4735,485,1393,1800,2533,15542,104,772,3991,135,336,4588,762,1350,2758,783,20868,2358,5219,2950,4044,897,904,30592,1735,52825,6798,7238,22632,2354,11440,2136,3419,11754,2248,626,3318,2774,1531,5026,76213,6846,18076,4084,9971,6478,9037,27423,3657,3472,3415,4543,22552,11367,1243,178515,2455,912,12173,2439,3891,5783,1555,1701,1299,30542,6043,8520,2678,11739,7663,4849,7099,7922,2071,9962,40599,2625,3855,592,6478,2171,2425,4231,774,1517,5958,2461,345,443,17857,1559,5079,16820,2442,4228,118,1440,22,38,10219,37,716,12,1129,177,9498,1273,608,5167,46,1758,2046,3165,5448,1650,416,445,527,441,5276,385,262,1149,857,21171,517,1745,224,1406,2608,1281,101,9169,619,92,1763,6651,805,2145,2260,2367,20450,227,472,6725,155,426,5271,1319,2786,4112,1154,25686,3739,6597,2883,4473,1472,1091,25535,2263,61588,8060,7365,22581,2595,12290,2014,3975,13016,2567,986,4546,3340,1616,6508,87423,8470,20306,5766,11399,9505,11079,32759,4060,3555,4155,5009,30043,14673,1357,199143,3367,1109,15214,2692,4421,6673,1888,1880,1522,35786,7707,10686,2539,14448,9414,6100,9027,9452,2658,5333,47055,3056,3868,653,7222,2773,2949,5041,1106,1370,6926,2479,703,680,22301,2325,6383,21640
2000M09,1589,2638,54,949,7,28,6825,23,466,69,766,227,7280,796,323,2440,32,1018,1585,1678,3656,1109,247,430,346,282,3344,258,155,708,678,13738,293,702,201,944,1372,391,152,5327,336,160,1506,4111,490,1194,1412,3022,13871,70,419,4844,49,291,4306,680,1512,2501,902,20768,2745,4613,2382,4063,1097,898,26565,1559,45008,5874,6129,28264,2449,10322,1402,3736,9713,1797,593,3361,2059,1535,4249,68042,7496,18250,5659,9402,6372,8942,26058,3290,4787,5701,3920,20946,11243,1121,153191,2136,981,11505,2637,2917,5068,1443,1378,1250,26592,5385,7330,1990,9874,7651,4081,6025,7066,1800,4654,34345,2189,2903,476,5430,2904,2600,4550,892,1777,6249,4044,343,439,15590,1719,5542,14197,1655,3777,188,1339,7,17,9136,35,647,55,963,128,9715,1354,620,4634,17,1355,1840,2747,4336,1464,464,433,356,359,3893,758,215,1686,1014,17335,280,1184,203,1240,2008,498,94,7299,513,96,1691,6147,746,1638,1976,11536,20876,136,586,25027,81,350,4878,789,2327,3260,1206,27048,3183,5749,2510,5440,927,885,18052,1876,54339,6617,5909,17074,2370,9472,1738,3837,12241,1869,727,4232,2536,1616,5579,80663,8514,18189,5311,8881,7699,10054,29736,3096,2566,3365,4996,24023,12721,1341,187388,2808,910,12944,1969,3468,6078,1675,1635,1331,32374,6437,9426,2155,12937,8490,5298,6960,8501,2222,4505,40804,2412,3606,553,6075,2303,2677,4300,838,1233,6771,2308,577,616,20032,2046,5553,16607
2000M10,1687,2868,102,1184,7,389,7006,32,610,44,809,236,7665,1078,407,3047,13,1110,1626,2324,3448,1087,339,328,800,310,2578,253,162,860,600,15912,206,830,209,1229,1730,446,183,5950,421,94,1403,4056,627,1373,1495,2659,16841,86,371,5732,64,375,4439,814,1596,2610,922,24073,2873,4619,3437,4434,1510,887,26510,2890,52002,7087,6848,36788,3266,11380,2019,3499,10742,2844,748,4847,2628,1666,4950,74687,14037,28849,9905,11536,9194,15141,28464,3224,4505,8308,5050,24643,10537,994,168915,2679,1197,12381,4416,3434,6244,1806,1693,1369,28876,6304,8805,2429,11400,8670,5095,7442,7812,1939,5277,39092,2536,3375,789,7225,2288,2510,4872,1969,2550,6291,2425,429,553,20418,1991,8108,17051,1879,3602,90,1314,14,15,9133,26,557,56,1041,173,9476,1100,453,3420,101,1427,1504,2146,4607,1630,522,354,366,302,4095,382,388,1680,1370,18378,255,627,182,1008,2214,486,153,7414,518,55,1654,5711,592,1662,2064,15500,20271,269,451,14009,47,478,6563,927,2077,2987,1250,27692,2503,4753,2731,4284,747,874,17739,1747,53679,7038,6079,16116,1807,9393,1655,3959,12629,2276,643,4093,2329,1668,5678,82066,9313,19576,5113,10351,8998,12675,31655,3806,3254,5371,5912,26943,13953,1333,193706,2810,1046,14957,1697,3932,6415,1672,1727,1193,32637,7794,10622,3203,13529,8790,5561,8170,10351,2326,5301,41749,3020,4328,558,5397,3064,2977,4848,835,1564,6967,2726,478,629,20041,2511,5557,17541
2000M11,1854,3199,153,1464,8,24,6932,40,568,18,843,214,8158,1045,1048,2867,20,944,2122,2162,3682,1046,411,1244,880,291,5571,1016,322,858,1257,15285,246,1557,280,1126,1986,646,146,5598,444,110,1493,4373,607,1757,1750,2767,15562,106,531,6062,50,353,5481,760,3229,2721,660,23099,2322,4937,2827,3911,1304,975,19288,1840,53571,6934,4643,19413,2231,9917,1524,4320,10963,1967,677,10163,2595,1563,5127,69611,15928,30115,9339,15240,7449,13343,28199,6651,2607,7784,4201,22503,10704,1584,154984,5782,1060,17423,3773,4090,6386,1717,1914,1438,28439,7194,8130,3132,10595,9048,4944,7957,8390,2117,4532,36715,2841,3952,852,6568,2985,3279,4071,906,3348,5831,2239,427,623,17307,2023,5574,16492,1914,3100,67,1208,13,39,9247,21,594,36,893,139,9802,917,440,3042,37,1553,1490,1634,5174,1401,379,420,567,403,3545,216,274,1257,765,18214,203,854,196,1756,1939,423,104,8487,462,72,1574,5445,691,1478,2383,3742,21081,149,558,8814,112,343,5330,899,1274,3499,1294,24528,2896,5043,1920,3416,445,892,17130,1800,52793,7746,5696,14215,1862,9845,1537,3820,12330,2110,717,4542,2588,2007,6328,84729,10267,17518,4122,10181,7844,9511,28897,3096,2614,3122,5465,26223,13311,1638,188998,3118,1062,15426,1721,4356,6625,1603,1698,1320,33863,7916,9481,3702,13558,8883,5860,7648,9724,2280,5227,43801,3053,6184,594,5935,2132,2781,3496,1574,1483,6720,2333,503,458,18986,1880,5116,18157
2000M12,2509,4843,172,1276,237,51,10575,168,570,20,1083,187,10316,1316,598,4054,53,1300,2950,3178,4340,1615,471,513,792,412,3796,260,203,922,865,20928,344,1031,220,1688,2361,559,505,6698,457,184,1597,4401,827,2321,1997,2893,16893,91,361,6838,117,926,4972,825,3046,2879,1427,23287,2667,7018,2801,6228,1341,2166,22351,3185,98762,10636,8252,17980,3584,14660,2635,6155,17396,4162,1323,3650,3301,2480,7037,79213,13414,28337,7825,12630,7880,13198,32405,5583,3099,5809,6273,28018,14911,1336,185649,6259,2680,17680,4813,4120,8778,2355,2881,1582,35364,13299,10910,6210,15866,26348,7694,12995,10214,3186,7822,45261,3724,6730,856,8346,3533,6750,5387,1401,2138,9181,2779,497,705,21312,2102,7798,20468,1711,2071,40,877,33,15,6115,8,485,20,697,32,7541,614,184,2025,58,1006,951,950,3695,919,293,197,335,213,2777,109,162,711,1841,13612,115,388,127,905,1305,379,400,5462,302,48,1121,3316,400,892,1531,1590,13991,109,468,4760,63,373,4258,623,1019,1916,839,17785,2222,3715,1140,2366,366,628,12659,1382,38395,5757,3169,9753,1355,6686,1000,2734,11186,1564,520,3699,2013,2034,4621,66300,5366,11331,3422,6858,4849,7706,21258,2260,2356,1673,3548,23529,11129,1330,139883,1860,655,9944,1002,2738,4761,1155,1296,987,27083,5652,6221,1552,10768,8306,4657,5693,6654,1703,3692,33174,2529,5221,351,4435,1238,1674,1961,489,830,4400,1504,351,246,14051,1012,3711,13930
2001M01,1578,3091,63,1076,4,246,8124,41,591,22,846,227,7191,1021,440,3688,27,1196,1532,1266,4142,1344,321,461,609,390,3648,261,245,1094,1670,15864,298,742,435,1312,1598,421,163,5964,522,120,1874,6404,707,1069,2111,3779,16762,126,515,5979,60,321,4254,698,1620,2566,1455,19463,2245,4985,1894,3581,854,1090,14758,2241,49344,6936,4833,12766,1808,9149,1682,4093,10420,1857,663,3300,2871,2064,5125,75721,9047,15995,3745,10217,7642,9571,28556,3692,2966,2529,4610,23653,13072,1419,161776,2420,1046,12560,1928,3578,5931,1685,1852,1669,28993,6878,9014,2603,12395,7807,6196,7458,7939,2362,5466,38376,2748,5435,686,5417,2000,2741,3220,857,880,5713,2022,418,577,15991,1684,5066,17035,2347,4390,163,1697,23,47,11539,122,1286,69,1728,343,11257,2824,685,6065,232,1363,4250,6554,6568,2052,614,867,747,388,5849,444,368,2374,3372,19918,540,1613,898,2998,2671,1408,841,9734,988,523,3048,8645,1487,1939,3559,4067,22117,175,781,8558,516,1280,7665,1242,3437,4635,2859,30546,5155,9694,4311,6952,1965,1580,19403,3128,65444,10017,6252,17081,2640,12060,1947,6124,16315,3730,1695,5541,3711,5792,6957,95342,15891,26738,5089,11034,8066,13168,37297,5712,3484,5094,6531,27885,17620,2276,207456,3425,1461,16331,2386,5509,12364,4951,3173,1828,42127,20227,12265,3869,19760,11929,8294,12667,12025,3242,7834,53308,3958,5402,1063,8189,3829,5769,6375,1642,1537,8206,4482,990,1170,25077,2667,11321,22312
