region;AIC;BIC;HaQ
273;29,6888;32,7966;30,9398
274;25,8020;28,9098;27,0529
275;25,7064;28,8142;26,9573
276;29,1235;32,2313;30,3745
277;30,2877;33,3672;31,5272
278;23,8006;26,9083;25,0515
279;26,3085;29,4163;27,5594
280;40,8595;43,9673;42,1104
281;29,5623;32,6701;30,8133
282;21,0293;24,1089;22,2689
283;28,9224;32,0302;30,1733
284;29,3209;32,4287;30,5718
285;24,8494;27,9572;26,1004
286;24,0259;27,1336;25,2768
287;28,9459;32,0255;30,1855
288;23,1758;26,2553;24,4154
289;32,1566;35,2644;33,4076
290;28,0478;31,1556;29,2988
291;24,7223;27,8301;25,9733
292;26,6026;29,7104;27,8536
293;30,1881;33,2958;31,4390
294;27,5851;30,6929;28,8360
295;25,0817;28,1895;26,3326
296;27,9145;31,0223;29,1654
297;29,6756;32,7834;30,9265
298;31,8358;34,9436;33,0867
299;30,1241;33,2319;31,3751
300;32,8178;35,9256;34,0688
301;27,7745;30,8822;29,0254
302;28,5513;31,6591;29,8023
303;26,6145;29,7223;27,8655
304;27,1823;30,2901;28,4333
305;21,8930;25,0008;23,1439
306;27,8266;30,9344;29,0775
307;27,1089;30,2167;28,3599
308;25,1468;28,2545;26,3977
309;27,1897;30,2975;28,4407
310;27,8248;30,9325;29,0757
311;29,0366;32,1444;30,2875
312;26,5796;29,6874;27,8305
313;26,4803;29,5881;27,7312
314;28,0702;31,1779;29,3211
315;31,1520;34,2598;32,4029
316;25,9076;29,0154;27,1586
317;24,0867;27,1945;25,3376
318;27,3317;30,4395;28,5826
319;27,0934;30,2012;28,3443
320;26,1292;29,2370;27,3802
321;30,6348;33,7426;31,8857
322;32,5143;35,6221;33,7653
323;25,2974;28,3769;26,5370
324;24,0641;27,1436;25,3036
325;36,2581;39,3659;37,5091
326;28,2101;31,2896;29,4496
327;25,8223;28,9018;27,0618
328;28,0469;31,1547;29,2978
329;27,6627;30,7705;28,9136
330;25,6502;28,7580;26,9011
331;26,7552;29,8630;28,0061
332;33,9220;37,0298;35,1729
333;32,8283;35,9360;34,0792
334;26,5324;29,6119;27,7720
335;23,5194;26,5989;24,7590
336;29,1447;32,2525;30,3956
337;22,0109;25,1187;23,2618
338;23,2597;26,3674;24,5106
339;33,5063;36,5858;34,7458
340;31,0545;34,1623;32,3054
341;25,8079;28,9157;27,0588
342;28,4550;31,5628;29,7059
343;23,8886;26,9681;25,1281
344;29,4696;32,5774;30,7206
345;27,2114;30,3192;28,4623
346;42,2741;45,3819;43,5251
347;27,7635;30,8713;29,0144
348;27,4228;30,5023;28,6623
349;27,5252;30,6330;28,7761
350;32,5920;35,6998;33,8429
351;33,7960;36,9038;35,0469
352;26,6471;29,7549;27,8981
353;29,0760;32,1838;30,3269
354;28,9500;32,0578;30,2010
355;28,0292;31,1370;29,2802
356;33,0121;36,1199;34,2630
357;30,9542;34,0620;32,2051
358;31,4369;34,5164;32,6764
359;34,9002;38,0080;36,1511
360;35,3053;38,4131;36,5562
361;28,0763;31,1841;29,3273
362;30,3834;33,4912;31,6344
363;32,5328;35,6405;33,7837
364;32,2214;35,3291;33,4723
365;31,9669;35,0747;33,2179
366;31,6062;34,7140;32,8571
367;34,1202;37,2280;35,3711
368;27,7236;30,8314;28,9745
369;30,2125;33,2920;31,4520
370;34,9180;38,0258;36,1689
371;30,1263;33,2341;31,3773
372;29,8280;32,9358;31,0789
373;32,5459;35,6537;33,7969
374;34,2889;37,3967;35,5398
375;31,0855;34,1932;32,3364
376;30,2765;33,3843;31,5274
377;31,0120;34,1198;32,2629
378;35,7621;38,8699;37,0130
379;26,8813;29,9891;28,1323
380;27,4829;30,5907;28,7339
381;30,2660;33,3738;31,5169
382;30,7631;33,8709;32,0140
383;23,8938;27,0016;25,1448
384;29,3006;32,4084;30,5515
385;31,8634;34,9712;33,1144
386;30,5015;33,6092;31,7524
387;26,6983;29,8061;27,9492
388;29,2857;32,3935;30,5366
389;29,8653;32,9731;31,1162
390;25,2841;28,3636;26,5237
391;30,7220;33,8298;31,9729
392;32,8338;35,9416;34,0848
393;33,1690;36,2768;34,4200
