region;AIC;BIC;HaQ
272;30,3656;31,0154;30,6272
273;29,3507;29,9440;29,5895
274;25,0752;25,7815;25,3595
275;25,0666;25,6034;25,2827
276;27,3498;28,4516;27,7933
277;29,9605;30,4690;30,1652
278;22,3433;23,6146;22,8550
279;25,0208;25,9814;25,4075
280;39,0275;40,4401;39,5961
281;28,8068;29,4566;29,0684
282;20,9473;21,7101;21,2543
283;28,0777;29,0948;28,4871
284;27,9873;28,5241;28,2034
285;23,2152;24,1758;23,6019
286;23,4961;24,0894;23,7349
287;28,4551;29,6134;28,9213
288;21,5148;22,7862;22,0266
289;31,3941;32,2417;31,7353
290;27,7845;28,4908;28,0688
291;24,4916;25,0284;24,7077
292;26,4192;27,1255;26,7035
293;29,9778;30,7124;30,2735
294;27,3627;28,0407;27,6356
295;25,0297;25,5382;25,2344
296;27,5386;28,7535;28,0276
297;29,4324;29,9975;29,6599
298;31,4143;32,3184;31,7782
299;30,1271;31,2854;30,5933
300;32,4004;33,7001;32,9236
301;27,8349;28,3434;28,0395
302;27,8600;29,0748;28,3490
303;26,4471;27,1534;26,7314
304;26,9933;27,9256;27,3686
305;21,1548;21,8046;21,4164
306;25,1657;25,9568;25,4842
307;26,6270;27,3898;26,9341
308;25,1165;25,7098;25,3553
309;27,1006;27,7222;27,3508
310;27,7267;28,4613;28,0224
311;28,7583;29,5211;29,0654
312;26,1334;27,2353;26,5769
313;25,6666;26,5707;26,0305
314;27,1249;28,1985;27,5570
315;30,5600;31,5206;30,9466
316;25,6229;26,1597;25,8390
317;23,9789;24,4310;24,1609
318;27,2165;28,0076;27,5349
319;26,9967;27,5052;27,2014
320;24,9019;26,1733;25,4136
321;29,9554;30,8594;30,3193
322;32,0663;32,8291;32,3734
323;25,0800;26,0970;25,4894
324;23,6904;24,6793;24,0884
325;35,9952;37,0123;36,4046
326;27,7003;28,8022;28,1438
327;25,6578;26,5054;25,9990
328;27,5116;28,5569;27,9324
329;27,5932;28,1300;27,8093
330;25,4763;25,9848;25,6810
331;26,5941;27,0462;26,7761
332;32,6597;33,2813;32,9099
333;30,7157;31,9024;31,1934
334;26,5434;26,9672;26,7140
335;23,1262;24,0303;23,4901
336;27,4530;28,5266;27,8852
337;20,2242;21,4390;20,7132
338;21,8512;23,5463;22,5335
339;28,0512;30,1419;28,8927
